gender,body_type,season,occasion,fabrics
Women,Triangle,Spring,Party,Denim
Women,Rectangle,Spring,Ethnic,Silk
Women,Round,Winter,Casual,Chiffon
Women,Inverted Triangle,Summer,Business,Cotton
Women,Round,Winter,Business,Denim
Women,Round,Spring,Party,Cotton
Men,Apple,Spring,Business,Cotton
Men,V-Shape,Summer,Casual,Twill
Women,Inverted Triangle,Summer,Casual,Satin
Women,Triangle,Winter,Casual,Velvet
Women,Inverted Triangle,Summer,Business,Satin
Women,Triangle,Autumn,Party,Velvet
Women,Rectangle,Summer,Ethnic,Velvet
Men,V-Shape,Autumn,Business,Denim
Women,Inverted Triangle,Autumn,Party,Velvet
Men,Rectangle,Summer,Gym/Sport,Linen
Men,Triangle,Autumn,Gym/Sport,Denim
Women,Inverted Triangle,Winter,Party,Chiffon
Men,Apple,Winter,Business,Polyester
Men,Rectangle,Spring,Gym/Sport,Linen
Women,Hourglass,Spring,Business,Silk
Women,Rectangle,Winter,Gym/Sport,Satin
Men,Triangle,Winter,Business,Polyester
Men,Triangle,Winter,Ethnic,Polyester
Men,Apple,Spring,Ethnic,Denim
Women,Inverted Triangle,Winter,Gym/Sport,Velvet
Men,Apple,Spring,Gym/Sport,Linen
Men,Rectangle,Autumn,Casual,Wool
Men,V-Shape,Spring,Casual,Twill
Women,Hourglass,Summer,Business,Velvet
Men,Rectangle,Winter,Gym/Sport,Denim
Women,Hourglass,Spring,Casual,Satin
Women,Rectangle,Spring,Casual,Linen
Women,Hourglass,Winter,Business,Linen
Men,Rectangle,Summer,Gym/Sport,Wool
Men,Apple,Autumn,Business,Denim
Men,V-Shape,Spring,Ethnic,Polyester
Women,Triangle,Autumn,Party,Chiffon
Men,Triangle,Winter,Business,Polyester
Men,Apple,Spring,Casual,Wool
Women,Hourglass,Winter,Ethnic,Rayon
Women,Rectangle,Summer,Casual,Denim
Women,Hourglass,Spring,Business,Chiffon
Men,Triangle,Spring,Casual,Denim
Men,V-Shape,Autumn,Casual,Cotton
Women,Triangle,Spring,Business,Cotton
Women,Hourglass,Spring,Ethnic,Satin
Men,Triangle,Spring,Ethnic,Polyester
Women,Inverted Triangle,Spring,Casual,Cotton
Men,Apple,Autumn,Ethnic,Denim
Men,Triangle,Autumn,Business,Linen
Men,V-Shape,Spring,Ethnic,Denim
Men,V-Shape,Summer,Ethnic,Twill
Men,Apple,Spring,Casual,Polyester
Men,V-Shape,Summer,Ethnic,Cotton
Men,Rectangle,Autumn,Casual,Linen
Men,Apple,Autumn,Ethnic,Wool
Women,Inverted Triangle,Spring,Gym/Sport,Chiffon
Men,Apple,Winter,Business,Polyester
Women,Round,Summer,Business,Satin
Men,V-Shape,Winter,Business,Linen
Women,Hourglass,Spring,Ethnic,Linen
Women,Rectangle,Autumn,Party,Chiffon
Men,V-Shape,Autumn,Gym/Sport,Cotton
Men,V-Shape,Winter,Casual,Cotton
Men,Triangle,Winter,Party,Cotton
Women,Hourglass,Autumn,Ethnic,Linen
Men,Rectangle,Winter,Gym/Sport,Linen
Women,Triangle,Winter,Casual,Rayon
Women,Hourglass,Summer,Business,Satin
Men,Rectangle,Autumn,Party,Polyester
Men,Apple,Winter,Gym/Sport,Cotton
Women,Triangle,Autumn,Gym/Sport,Velvet
Women,Triangle,Summer,Casual,Linen
Men,Triangle,Autumn,Ethnic,Cotton
Men,Triangle,Summer,Casual,Linen
Men,V-Shape,Autumn,Business,Cotton
Women,Rectangle,Autumn,Party,Silk
Women,Hourglass,Spring,Business,Denim
Women,Inverted Triangle,Summer,Ethnic,Linen
Men,Rectangle,Autumn,Business,Cotton
Women,Round,Winter,Business,Denim
Women,Round,Winter,Party,Denim
Men,Apple,Winter,Party,Polyester
Women,Rectangle,Spring,Party,Silk
Women,Round,Winter,Casual,Satin
Women,Inverted Triangle,Winter,Casual,Velvet
Women,Hourglass,Summer,Ethnic,Denim
Men,Apple,Spring,Ethnic,Cotton
Women,Triangle,Autumn,Party,Denim
Men,V-Shape,Summer,Ethnic,Wool
Women,Hourglass,Winter,Ethnic,Cotton
Women,Hourglass,Winter,Ethnic,Rayon
Women,Rectangle,Summer,Gym/Sport,Silk
Women,Inverted Triangle,Autumn,Gym/Sport,Satin
Men,V-Shape,Spring,Gym/Sport,Wool
Men,V-Shape,Spring,Gym/Sport,Twill
Women,Hourglass,Summer,Casual,Rayon
Women,Rectangle,Autumn,Business,Velvet
Women,Rectangle,Spring,Party,Denim
Women,Rectangle,Spring,Ethnic,Chiffon
Women,Inverted Triangle,Summer,Casual,Silk
Women,Inverted Triangle,Summer,Ethnic,Cotton
Women,Inverted Triangle,Spring,Ethnic,Denim
Women,Hourglass,Autumn,Party,Velvet
Women,Round,Spring,Party,Linen
Men,Apple,Spring,Ethnic,Linen
Women,Round,Winter,Business,Cotton
Women,Round,Summer,Business,Linen
Men,Triangle,Winter,Ethnic,Twill
Men,Triangle,Autumn,Casual,Twill
Men,V-Shape,Winter,Ethnic,Linen
Women,Round,Autumn,Ethnic,Chiffon
Men,Apple,Winter,Casual,Polyester
Men,V-Shape,Winter,Casual,Denim
Women,Inverted Triangle,Spring,Gym/Sport,Denim
Men,Apple,Autumn,Business,Wool
Men,Apple,Autumn,Business,Denim
Men,Rectangle,Spring,Business,Twill
Men,V-Shape,Autumn,Casual,Polyester
Men,Triangle,Summer,Party,Cotton
Women,Round,Spring,Gym/Sport,Linen
Women,Round,Summer,Ethnic,Chiffon
Men,Apple,Winter,Ethnic,Cotton
Men,Rectangle,Summer,Party,Wool
Women,Round,Spring,Business,Velvet
Women,Round,Winter,Gym/Sport,Chiffon
Men,Apple,Spring,Business,Twill
Women,Rectangle,Summer,Ethnic,Linen
Women,Round,Spring,Business,Satin
Women,Rectangle,Summer,Ethnic,Satin
Men,Rectangle,Spring,Business,Polyester
Women,Hourglass,Winter,Business,Cotton
Women,Inverted Triangle,Winter,Ethnic,Silk
Men,Triangle,Summer,Party,Wool
Women,Inverted Triangle,Autumn,Party,Silk
Men,Apple,Winter,Party,Linen
Men,Apple,Summer,Ethnic,Twill
Women,Inverted Triangle,Summer,Gym/Sport,Chiffon
Women,Triangle,Summer,Party,Silk
Men,Rectangle,Spring,Ethnic,Polyester
Men,Rectangle,Autumn,Casual,Denim
Men,V-Shape,Spring,Party,Linen
Women,Triangle,Autumn,Business,Silk
Men,Rectangle,Spring,Party,Cotton
Women,Rectangle,Autumn,Ethnic,Chiffon
Men,Rectangle,Autumn,Ethnic,Linen
Women,Rectangle,Summer,Ethnic,Silk
Women,Round,Summer,Casual,Linen
Men,Rectangle,Autumn,Gym/Sport,Polyester
Women,Round,Winter,Business,Linen
Men,Apple,Autumn,Party,Linen
Women,Rectangle,Winter,Party,Silk
Women,Triangle,Spring,Ethnic,Chiffon
Men,V-Shape,Winter,Gym/Sport,Linen
Men,V-Shape,Winter,Business,Twill
Women,Inverted Triangle,Winter,Party,Velvet
Men,V-Shape,Summer,Party,Wool
Women,Hourglass,Winter,Business,Denim
Men,Triangle,Summer,Party,Polyester
Men,Triangle,Autumn,Casual,Twill
Men,Apple,Spring,Gym/Sport,Linen
Men,Apple,Summer,Party,Twill
Men,Apple,Spring,Party,Denim
Men,Triangle,Spring,Ethnic,Denim
Men,Triangle,Spring,Business,Polyester
Men,Rectangle,Spring,Business,Twill
Women,Triangle,Summer,Casual,Denim
Women,Rectangle,Spring,Ethnic,Chiffon
Women,Round,Autumn,Gym/Sport,Rayon
Men,Rectangle,Spring,Business,Denim
Men,Rectangle,Spring,Ethnic,Polyester
Women,Triangle,Summer,Casual,Velvet
Women,Inverted Triangle,Spring,Party,Linen
Men,Triangle,Summer,Casual,Wool
Men,V-Shape,Autumn,Ethnic,Twill
Women,Hourglass,Winter,Casual,Satin
Women,Inverted Triangle,Winter,Gym/Sport,Silk
Men,Rectangle,Autumn,Gym/Sport,Linen
Women,Rectangle,Autumn,Party,Linen
Men,Rectangle,Spring,Gym/Sport,Twill
Women,Triangle,Summer,Business,Chiffon
Men,Rectangle,Spring,Casual,Cotton
Women,Hourglass,Spring,Casual,Satin
Women,Rectangle,Autumn,Ethnic,Linen
Women,Hourglass,Spring,Business,Velvet
Men,Apple,Winter,Business,Linen
Women,Rectangle,Spring,Casual,Denim
Women,Triangle,Winter,Casual,Satin
Men,Triangle,Autumn,Business,Polyester
Women,Round,Spring,Business,Silk
Men,V-Shape,Summer,Party,Polyester
Men,Apple,Winter,Business,Linen
Women,Hourglass,Summer,Business,Cotton
Men,Apple,Autumn,Party,Twill
Men,V-Shape,Autumn,Business,Cotton
Women,Hourglass,Winter,Ethnic,Chiffon
Men,Rectangle,Spring,Gym/Sport,Denim
Women,Rectangle,Summer,Party,Satin
Women,Rectangle,Autumn,Business,Denim
Men,Triangle,Summer,Business,Polyester
Men,Apple,Autumn,Party,Denim
Men,Triangle,Winter,Casual,Wool
Men,Apple,Summer,Gym/Sport,Denim
Women,Round,Autumn,Casual,Satin
Men,Triangle,Spring,Casual,Twill
Men,Triangle,Autumn,Business,Polyester
Women,Round,Spring,Gym/Sport,Rayon
Women,Hourglass,Winter,Gym/Sport,Velvet
Women,Round,Autumn,Party,Velvet
Men,V-Shape,Summer,Business,Wool
Men,Rectangle,Winter,Casual,Twill
Men,Rectangle,Spring,Casual,Wool
Men,V-Shape,Spring,Business,Linen
Women,Inverted Triangle,Spring,Casual,Silk
Women,Round,Summer,Casual,Cotton
Women,Triangle,Winter,Party,Satin
Men,Triangle,Autumn,Casual,Linen
Women,Triangle,Summer,Casual,Satin
Men,Apple,Autumn,Party,Polyester
Men,Triangle,Autumn,Party,Twill
Women,Inverted Triangle,Autumn,Business,Linen
Women,Hourglass,Autumn,Business,Linen
Men,Apple,Autumn,Gym/Sport,Twill
Women,Round,Autumn,Business,Chiffon
Women,Rectangle,Winter,Gym/Sport,Silk
Women,Triangle,Summer,Party,Rayon
Women,Inverted Triangle,Spring,Ethnic,Silk
Women,Inverted Triangle,Summer,Casual,Denim
Men,Triangle,Summer,Casual,Linen
Women,Hourglass,Spring,Casual,Velvet
Men,Triangle,Winter,Business,Denim
Men,Triangle,Summer,Business,Twill
Men,Apple,Spring,Casual,Cotton
Women,Hourglass,Winter,Business,Denim
Men,V-Shape,Autumn,Ethnic,Linen
Men,V-Shape,Summer,Ethnic,Denim
Men,Apple,Autumn,Ethnic,Linen
Men,V-Shape,Spring,Casual,Cotton
Men,Triangle,Summer,Gym/Sport,Denim
Women,Inverted Triangle,Autumn,Gym/Sport,Rayon
Men,Triangle,Summer,Casual,Polyester
Women,Triangle,Autumn,Gym/Sport,Silk
Women,Hourglass,Winter,Gym/Sport,Linen
Men,Triangle,Summer,Casual,Polyester
Men,V-Shape,Summer,Business,Twill
Men,V-Shape,Summer,Party,Twill
Women,Round,Autumn,Business,Satin
Men,V-Shape,Spring,Gym/Sport,Polyester
Men,Rectangle,Summer,Party,Linen
Men,Triangle,Spring,Ethnic,Denim
Men,Triangle,Spring,Gym/Sport,Polyester
Women,Rectangle,Spring,Gym/Sport,Cotton
Women,Inverted Triangle,Autumn,Casual,Linen
Men,Triangle,Autumn,Gym/Sport,Polyester
Women,Rectangle,Spring,Party,Linen
Men,Apple,Winter,Party,Wool
Men,V-Shape,Winter,Casual,Wool
Women,Inverted Triangle,Winter,Business,Rayon
Women,Triangle,Summer,Casual,Satin
Women,Inverted Triangle,Summer,Business,Cotton
Men,V-Shape,Winter,Business,Denim
Men,Triangle,Summer,Party,Denim
Women,Triangle,Summer,Party,Satin
Men,V-Shape,Spring,Ethnic,Twill
Women,Triangle,Summer,Casual,Denim
Women,Hourglass,Autumn,Business,Chiffon
Men,V-Shape,Autumn,Ethnic,Twill
Women,Hourglass,Summer,Ethnic,Silk
Women,Round,Summer,Business,Linen
Men,Triangle,Autumn,Ethnic,Wool
Women,Rectangle,Winter,Party,Velvet
Women,Inverted Triangle,Summer,Party,Rayon
Women,Inverted Triangle,Spring,Ethnic,Satin
Women,Triangle,Summer,Casual,Cotton
Men,Triangle,Summer,Casual,Wool
Women,Hourglass,Winter,Party,Cotton
Men,Rectangle,Summer,Business,Denim
Men,Triangle,Autumn,Gym/Sport,Twill
Women,Inverted Triangle,Spring,Ethnic,Velvet
Women,Triangle,Spring,Gym/Sport,Velvet
Women,Rectangle,Winter,Business,Cotton
Women,Inverted Triangle,Winter,Casual,Velvet
Women,Rectangle,Spring,Ethnic,Denim
Men,Triangle,Winter,Business,Cotton
Men,Apple,Winter,Casual,Denim
Men,Triangle,Autumn,Party,Polyester
Women,Rectangle,Spring,Party,Velvet
Women,Triangle,Summer,Party,Linen
Women,Hourglass,Winter,Ethnic,Silk
Men,Apple,Summer,Party,Twill
Men,Apple,Winter,Business,Denim
Women,Inverted Triangle,Summer,Party,Cotton
Women,Rectangle,Spring,Ethnic,Cotton
Women,Triangle,Winter,Business,Linen
Women,Triangle,Autumn,Business,Cotton
Women,Round,Spring,Party,Chiffon
Women,Triangle,Spring,Ethnic,Linen
Men,Apple,Winter,Casual,Denim
Men,Rectangle,Autumn,Casual,Wool
Women,Hourglass,Summer,Casual,Rayon
Women,Triangle,Summer,Ethnic,Silk
Women,Triangle,Autumn,Business,Linen
Women,Inverted Triangle,Spring,Gym/Sport,Silk
Men,V-Shape,Winter,Gym/Sport,Linen
Women,Inverted Triangle,Autumn,Gym/Sport,Cotton
Women,Inverted Triangle,Spring,Business,Velvet
Women,Rectangle,Spring,Business,Satin
Men,Triangle,Winter,Gym/Sport,Cotton
Women,Triangle,Winter,Gym/Sport,Chiffon
Men,Rectangle,Summer,Party,Cotton
Women,Triangle,Spring,Ethnic,Cotton
Women,Inverted Triangle,Spring,Party,Velvet
Women,Round,Spring,Ethnic,Rayon
Women,Hourglass,Winter,Ethnic,Cotton
Men,Rectangle,Spring,Ethnic,Polyester
Men,Apple,Summer,Ethnic,Denim
Women,Triangle,Autumn,Business,Cotton
Men,V-Shape,Winter,Gym/Sport,Denim
Men,V-Shape,Spring,Gym/Sport,Cotton
Women,Triangle,Winter,Casual,Linen
Women,Rectangle,Spring,Casual,Rayon
Men,Rectangle,Spring,Business,Twill
Women,Triangle,Spring,Gym/Sport,Rayon
Men,V-Shape,Summer,Gym/Sport,Polyester
Women,Hourglass,Summer,Casual,Silk
Men,V-Shape,Winter,Casual,Linen
Men,V-Shape,Spring,Gym/Sport,Wool
Women,Inverted Triangle,Spring,Casual,Cotton
Women,Inverted Triangle,Winter,Party,Satin
Men,Apple,Winter,Party,Polyester
Men,Rectangle,Summer,Business,Cotton
Men,Rectangle,Winter,Ethnic,Twill
Men,Rectangle,Spring,Ethnic,Linen
Women,Hourglass,Autumn,Casual,Silk
Women,Triangle,Autumn,Casual,Chiffon
Women,Inverted Triangle,Spring,Ethnic,Rayon
Women,Round,Spring,Ethnic,Cotton
Men,Apple,Summer,Party,Polyester
Women,Triangle,Autumn,Business,Linen
Men,Rectangle,Winter,Casual,Wool
Women,Rectangle,Spring,Party,Chiffon
Women,Triangle,Autumn,Gym/Sport,Denim
Women,Hourglass,Winter,Gym/Sport,Velvet
Men,V-Shape,Winter,Casual,Wool
Women,Rectangle,Spring,Casual,Linen
Men,Rectangle,Summer,Ethnic,Twill
Men,Triangle,Autumn,Business,Denim
Women,Inverted Triangle,Summer,Gym/Sport,Linen
Women,Round,Winter,Business,Satin
Men,Triangle,Autumn,Ethnic,Polyester
Women,Hourglass,Winter,Ethnic,Silk
Men,Apple,Winter,Casual,Cotton
Men,V-Shape,Spring,Ethnic,Polyester
Men,V-Shape,Summer,Casual,Polyester
Women,Rectangle,Autumn,Business,Rayon
Men,V-Shape,Autumn,Casual,Polyester
Men,Triangle,Winter,Business,Linen
Men,Rectangle,Summer,Gym/Sport,Cotton
Women,Triangle,Autumn,Party,Cotton
Women,Rectangle,Autumn,Business,Chiffon
Women,Round,Spring,Gym/Sport,Velvet
Women,Triangle,Summer,Casual,Chiffon
Men,Triangle,Summer,Ethnic,Wool
Women,Triangle,Summer,Ethnic,Velvet
Women,Round,Autumn,Casual,Rayon
Women,Rectangle,Summer,Business,Velvet
Women,Rectangle,Autumn,Casual,Silk
Men,Apple,Winter,Gym/Sport,Twill
Women,Hourglass,Spring,Casual,Silk
Women,Triangle,Winter,Ethnic,Cotton
Men,Apple,Winter,Party,Cotton
Women,Round,Winter,Business,Linen
Women,Triangle,Winter,Ethnic,Cotton
Women,Rectangle,Autumn,Party,Silk
Women,Round,Spring,Gym/Sport,Denim
Women,Hourglass,Summer,Party,Satin
Men,Rectangle,Summer,Business,Linen
Women,Rectangle,Autumn,Business,Linen
Women,Round,Spring,Business,Denim
Men,Apple,Autumn,Business,Wool
Men,Rectangle,Autumn,Casual,Twill
Men,V-Shape,Autumn,Casual,Twill
Men,Triangle,Winter,Party,Twill
Men,Apple,Summer,Gym/Sport,Cotton
Men,Rectangle,Winter,Business,Cotton
Men,Rectangle,Spring,Gym/Sport,Denim
Women,Inverted Triangle,Winter,Ethnic,Linen
Women,Rectangle,Spring,Business,Silk
Men,Rectangle,Autumn,Party,Wool
Men,Apple,Autumn,Casual,Wool
Men,Rectangle,Winter,Ethnic,Polyester
Men,Rectangle,Winter,Business,Linen
Men,V-Shape,Winter,Gym/Sport,Wool
Men,Triangle,Autumn,Ethnic,Denim
Women,Round,Spring,Business,Velvet
Men,Apple,Spring,Business,Denim
Women,Rectangle,Summer,Ethnic,Cotton
Women,Triangle,Spring,Casual,Cotton
Women,Hourglass,Spring,Casual,Rayon
Men,V-Shape,Autumn,Party,Wool
Men,Apple,Winter,Party,Cotton
Men,V-Shape,Winter,Ethnic,Twill
Women,Round,Autumn,Party,Silk
Men,V-Shape,Summer,Party,Cotton
Men,Rectangle,Spring,Business,Wool
Women,Inverted Triangle,Summer,Ethnic,Linen
Women,Triangle,Spring,Business,Velvet
Women,Triangle,Summer,Casual,Cotton
Men,V-Shape,Spring,Ethnic,Polyester
Women,Rectangle,Autumn,Gym/Sport,Satin
Women,Inverted Triangle,Autumn,Business,Chiffon
Men,V-Shape,Summer,Gym/Sport,Denim
Men,Apple,Winter,Business,Linen
Men,Triangle,Winter,Gym/Sport,Wool
Women,Inverted Triangle,Autumn,Gym/Sport,Denim
Men,Triangle,Winter,Party,Polyester
Men,Rectangle,Autumn,Party,Wool
Men,Apple,Spring,Business,Twill
Women,Triangle,Autumn,Ethnic,Linen
Men,Apple,Summer,Casual,Linen
Men,Apple,Autumn,Casual,Denim
Men,Triangle,Winter,Party,Wool
Women,Inverted Triangle,Winter,Gym/Sport,Satin
Women,Rectangle,Winter,Business,Satin
Women,Round,Summer,Casual,Rayon
Women,Hourglass,Autumn,Business,Cotton
Men,V-Shape,Autumn,Ethnic,Cotton
Women,Rectangle,Spring,Business,Rayon
Men,Triangle,Summer,Party,Polyester
Men,Apple,Spring,Ethnic,Linen
Women,Round,Summer,Ethnic,Velvet
Men,Rectangle,Winter,Party,Cotton
Men,Rectangle,Spring,Business,Wool
Men,V-Shape,Summer,Business,Wool
Women,Round,Autumn,Party,Chiffon
Men,V-Shape,Winter,Business,Cotton
Women,Rectangle,Autumn,Business,Chiffon
Women,Rectangle,Summer,Ethnic,Satin
Men,Triangle,Autumn,Casual,Twill
Women,Rectangle,Spring,Ethnic,Satin
Men,Apple,Autumn,Casual,Denim
Men,Triangle,Autumn,Party,Linen
Women,Triangle,Summer,Party,Velvet
Men,V-Shape,Summer,Casual,Polyester
Men,V-Shape,Spring,Ethnic,Cotton
Women,Inverted Triangle,Spring,Party,Velvet
Women,Rectangle,Winter,Gym/Sport,Silk
Women,Inverted Triangle,Winter,Business,Chiffon
Women,Hourglass,Winter,Gym/Sport,Rayon
Women,Triangle,Summer,Gym/Sport,Denim
Women,Rectangle,Spring,Ethnic,Cotton
Women,Triangle,Winter,Business,Rayon
Men,Rectangle,Autumn,Ethnic,Twill
Men,V-Shape,Summer,Party,Denim
Women,Inverted Triangle,Spring,Business,Silk
Women,Inverted Triangle,Winter,Casual,Rayon
Women,Hourglass,Winter,Casual,Chiffon
Men,Apple,Summer,Casual,Linen
Women,Inverted Triangle,Winter,Ethnic,Velvet
Women,Hourglass,Summer,Gym/Sport,Cotton
Men,V-Shape,Autumn,Party,Polyester
Men,Apple,Spring,Casual,Cotton
Men,V-Shape,Spring,Casual,Twill
Men,Triangle,Summer,Gym/Sport,Wool
Men,Apple,Autumn,Party,Cotton
Men,V-Shape,Winter,Business,Twill
Men,Rectangle,Summer,Casual,Twill
Women,Hourglass,Summer,Party,Silk
Men,Apple,Spring,Ethnic,Polyester
Women,Rectangle,Winter,Gym/Sport,Silk
Men,V-Shape,Autumn,Gym/Sport,Linen
Women,Rectangle,Summer,Ethnic,Velvet
Men,V-Shape,Spring,Ethnic,Twill
Women,Hourglass,Spring,Party,Velvet
Women,Triangle,Winter,Casual,Denim
Men,Rectangle,Winter,Business,Wool
Women,Triangle,Winter,Party,Silk
Men,Triangle,Autumn,Casual,Twill
Men,Rectangle,Winter,Business,Polyester
Women,Hourglass,Autumn,Gym/Sport,Linen
Women,Triangle,Winter,Party,Satin
Women,Rectangle,Spring,Business,Satin
Women,Inverted Triangle,Autumn,Party,Silk
Women,Triangle,Winter,Ethnic,Linen
Men,Apple,Winter,Gym/Sport,Cotton
Men,V-Shape,Summer,Gym/Sport,Twill
Men,Triangle,Spring,Party,Twill
Men,Rectangle,Autumn,Party,Polyester
Men,V-Shape,Winter,Casual,Twill
Men,Triangle,Autumn,Ethnic,Wool
Women,Hourglass,Autumn,Gym/Sport,Satin
Women,Triangle,Autumn,Ethnic,Linen
Women,Rectangle,Summer,Business,Denim
Men,Apple,Summer,Ethnic,Wool
Men,V-Shape,Summer,Party,Cotton
Women,Rectangle,Summer,Ethnic,Satin
Women,Round,Spring,Ethnic,Silk
Men,Apple,Spring,Business,Denim
Women,Hourglass,Spring,Ethnic,Velvet
Men,Rectangle,Autumn,Gym/Sport,Linen
Women,Triangle,Spring,Casual,Silk
Women,Round,Winter,Casual,Linen
Men,Apple,Autumn,Casual,Linen
Men,Rectangle,Spring,Gym/Sport,Cotton
Men,Rectangle,Summer,Casual,Twill
Men,Rectangle,Spring,Ethnic,Polyester
Women,Rectangle,Summer,Casual,Velvet
Men,Apple,Autumn,Casual,Cotton
Women,Rectangle,Summer,Gym/Sport,Satin
Men,V-Shape,Summer,Gym/Sport,Denim
Men,Triangle,Spring,Gym/Sport,Twill
Women,Hourglass,Spring,Party,Cotton
Women,Hourglass,Autumn,Party,Velvet
Men,Triangle,Spring,Party,Denim
Women,Triangle,Autumn,Casual,Satin
Men,Apple,Winter,Business,Polyester
Women,Triangle,Winter,Gym/Sport,Satin
Men,Triangle,Autumn,Business,Cotton
Men,V-Shape,Summer,Gym/Sport,Wool
Women,Round,Winter,Party,Denim
Women,Rectangle,Winter,Casual,Velvet
Men,Triangle,Autumn,Business,Linen
Men,Apple,Summer,Business,Denim
Women,Rectangle,Winter,Party,Denim
Men,Rectangle,Winter,Business,Polyester
Women,Round,Summer,Ethnic,Linen
Women,Hourglass,Winter,Party,Velvet
Men,V-Shape,Spring,Party,Denim
Men,V-Shape,Autumn,Ethnic,Cotton
Women,Round,Summer,Gym/Sport,Silk
Men,Apple,Winter,Party,Denim
Men,Apple,Winter,Casual,Cotton
Men,Apple,Summer,Ethnic,Twill
Men,Triangle,Winter,Gym/Sport,Linen
Men,Triangle,Autumn,Party,Cotton
Men,Triangle,Summer,Casual,Wool
Men,V-Shape,Spring,Business,Denim
Men,Triangle,Spring,Business,Denim
Men,V-Shape,Summer,Ethnic,Polyester
Men,Apple,Winter,Casual,Cotton
Women,Hourglass,Spring,Ethnic,Linen
Men,V-Shape,Spring,Casual,Linen
Men,V-Shape,Spring,Gym/Sport,Denim
Women,Triangle,Autumn,Casual,Cotton
Men,Rectangle,Winter,Business,Polyester
Men,Apple,Winter,Casual,Polyester
Men,V-Shape,Spring,Party,Polyester
Women,Rectangle,Spring,Party,Denim
Women,Triangle,Summer,Ethnic,Velvet
Men,Triangle,Spring,Business,Polyester
Men,Apple,Autumn,Ethnic,Twill
Men,Triangle,Winter,Gym/Sport,Wool
Men,Triangle,Summer,Gym/Sport,Twill
Men,Apple,Spring,Party,Twill
Women,Triangle,Spring,Casual,Satin
Women,Round,Spring,Casual,Cotton
Women,Hourglass,Winter,Casual,Velvet
Women,Triangle,Winter,Ethnic,Denim
Men,V-Shape,Summer,Business,Denim
Men,Apple,Spring,Casual,Linen
Women,Triangle,Summer,Business,Denim
Men,Apple,Summer,Casual,Linen
Men,Triangle,Autumn,Business,Linen
Men,Triangle,Autumn,Ethnic,Linen
Men,Triangle,Summer,Casual,Linen
Men,Apple,Winter,Casual,Polyester
Men,Rectangle,Spring,Party,Twill
Women,Rectangle,Winter,Business,Velvet
Men,V-Shape,Autumn,Business,Wool
Men,V-Shape,Spring,Gym/Sport,Wool
Women,Round,Winter,Casual,Rayon
Women,Rectangle,Summer,Casual,Satin
Men,Rectangle,Summer,Party,Wool
Men,Rectangle,Spring,Gym/Sport,Wool
Women,Inverted Triangle,Autumn,Gym/Sport,Chiffon
Women,Triangle,Summer,Ethnic,Satin
Men,Rectangle,Spring,Gym/Sport,Wool
Women,Round,Summer,Ethnic,Velvet
Women,Rectangle,Summer,Party,Rayon
Women,Hourglass,Summer,Business,Linen
Men,Triangle,Autumn,Ethnic,Wool
Men,V-Shape,Winter,Business,Twill
Women,Round,Summer,Gym/Sport,Silk
Women,Rectangle,Summer,Gym/Sport,Denim
Women,Rectangle,Winter,Gym/Sport,Chiffon
Men,Triangle,Summer,Casual,Denim
Men,Triangle,Spring,Gym/Sport,Twill
Women,Round,Spring,Gym/Sport,Satin
Women,Hourglass,Winter,Business,Silk
Women,Rectangle,Winter,Gym/Sport,Rayon
Men,Rectangle,Summer,Casual,Polyester
Men,Apple,Spring,Ethnic,Twill
Women,Triangle,Summer,Casual,Silk
Men,Triangle,Spring,Business,Polyester
Men,V-Shape,Summer,Ethnic,Wool
Women,Hourglass,Spring,Business,Linen
Women,Inverted Triangle,Summer,Gym/Sport,Linen
Men,Apple,Spring,Gym/Sport,Cotton
Women,Inverted Triangle,Spring,Ethnic,Denim
Men,Triangle,Winter,Casual,Denim
Men,Rectangle,Autumn,Ethnic,Twill
Women,Hourglass,Spring,Casual,Cotton
Women,Inverted Triangle,Summer,Ethnic,Silk
Men,Apple,Summer,Business,Linen
Women,Round,Summer,Business,Velvet
Men,Triangle,Summer,Ethnic,Twill
Men,Apple,Winter,Gym/Sport,Wool
Men,Triangle,Spring,Business,Polyester
Women,Rectangle,Summer,Business,Cotton
Men,Triangle,Winter,Casual,Linen
Women,Round,Spring,Casual,Linen
Men,Triangle,Winter,Business,Polyester
Men,V-Shape,Autumn,Party,Denim
Women,Rectangle,Autumn,Gym/Sport,Satin
Men,Triangle,Winter,Party,Wool
Men,Triangle,Winter,Ethnic,Twill
Men,Triangle,Winter,Ethnic,Polyester
Women,Rectangle,Spring,Business,Silk
Women,Inverted Triangle,Autumn,Casual,Rayon
Women,Rectangle,Spring,Gym/Sport,Velvet
Women,Round,Autumn,Party,Velvet
Women,Round,Winter,Party,Chiffon
Women,Rectangle,Summer,Casual,Velvet
Women,Inverted Triangle,Summer,Gym/Sport,Silk
Men,Triangle,Autumn,Gym/Sport,Twill
Women,Round,Spring,Party,Denim
Women,Triangle,Spring,Gym/Sport,Satin
Men,Apple,Winter,Party,Twill
Men,Triangle,Summer,Business,Polyester
Women,Rectangle,Winter,Gym/Sport,Chiffon
Women,Inverted Triangle,Autumn,Gym/Sport,Linen
Women,Rectangle,Summer,Business,Cotton
Women,Round,Summer,Business,Silk
Men,Triangle,Spring,Casual,Denim
Men,Rectangle,Summer,Casual,Polyester
Women,Inverted Triangle,Winter,Business,Rayon
Women,Hourglass,Spring,Business,Denim
