gender,body_type,season,occasion,lower_wear,color
Women,Triangle,Summer,Ethnic,Leggings,Beige
Men,Triangle,Winter,Business,Track Pants,Red
Men,Rectangle,Winter,Ethnic,Kurta Pajama,Grey
Women,Hourglass,Spring,Business,Sharara,Beige
Women,Triangle,Summer,Casual,Trousers,Blue
Women,Triangle,Spring,Business,Palazzo,White
Women,Triangle,Spring,Party,Jeans,Brown
Men,Rectangle,Summer,Business,Formal Pants,White
Women,Round,Summer,Business,Jeans,Pink
Men,V-Shape,Winter,Ethnic,Shorts,Brown
Women,Inverted Triangle,Spring,Party,Trousers,Brown
Men,Rectangle,Summer,Casual,Track Pants,Purple
Women,Triangle,Autumn,Business,Leggings,Beige
Women,Round,Winter,Party,Salwar,Grey
Women,Round,Spring,Casual,Skirt,Olive
Men,Apple,Winter,Casual,Trousers,Black
Women,Inverted Triangle,Autumn,Casual,Trousers,Olive
Women,Inverted Triangle,Spring,Ethnic,Salwar,Red
Women,Triangle,Autumn,Casual,Salwar,Brown
Women,Hourglass,Spring,Gym/Sport,Sharara,Grey
Men,V-Shape,Summer,Party,Trousers,Blue
Women,Triangle,Spring,Party,Sharara,Brown
Men,V-Shape,Winter,Party,Shorts,Grey
Men,V-Shape,Winter,Casual,Kurta Pajama,White
Men,Apple,Winter,Casual,Trousers,White
Men,Triangle,Winter,Business,Formal Pants,Black
Women,Round,Summer,Business,Salwar,Black
Women,Hourglass,Summer,Business,Palazzo,Blue
Women,Round,Summer,Ethnic,Leggings,Grey
Men,Triangle,Autumn,Casual,Shorts,Olive
Men,V-Shape,Winter,Business,Shorts,Brown
Men,Rectangle,Spring,Business,Trousers,White
Men,Apple,Spring,Gym/Sport,Formal Pants,Olive
Men,V-Shape,Winter,Business,Track Pants,Olive
Women,Rectangle,Summer,Ethnic,Skirt,Grey
Men,V-Shape,Autumn,Gym/Sport,Jeans,White
Men,V-Shape,Autumn,Business,Jeans,White
Women,Round,Summer,Ethnic,Jeans,Blue
Men,Triangle,Summer,Party,Kurta Pajama,White
Men,V-Shape,Winter,Ethnic,Kurta Pajama,Grey
Women,Inverted Triangle,Winter,Gym/Sport,Skirt,Olive
Men,Apple,Summer,Gym/Sport,Jeans,Pink
Men,Rectangle,Spring,Party,Track Pants,Navy Blue
Men,V-Shape,Summer,Casual,Jeans,Blue
Women,Hourglass,Summer,Party,Sharara,Grey
Men,Rectangle,Summer,Gym/Sport,Trousers,White
Women,Round,Summer,Ethnic,Jeans,Black
Women,Round,Autumn,Business,Leggings,Grey
Men,Triangle,Spring,Casual,Shorts,Black
Women,Triangle,Winter,Party,Salwar,Black
Women,Round,Summer,Party,Skirt,Purple
Men,Rectangle,Winter,Business,Kurta Pajama,Blue
Women,Hourglass,Autumn,Business,Palazzo,Navy Blue
Men,Apple,Winter,Gym/Sport,Trousers,Brown
Men,V-Shape,Spring,Gym/Sport,Chinos,Red
Women,Inverted Triangle,Autumn,Casual,Palazzo,Grey
Men,Triangle,Autumn,Business,Formal Pants,Brown
Men,Triangle,Spring,Ethnic,Shorts,Black
Women,Triangle,Spring,Casual,Skirt,Pink
Men,V-Shape,Autumn,Gym/Sport,Chinos,White
Women,Rectangle,Summer,Ethnic,Palazzo,Purple
Women,Rectangle,Summer,Business,Salwar,Blue
Men,Apple,Spring,Ethnic,Kurta Pajama,Navy Blue
Women,Triangle,Spring,Gym/Sport,Sharara,Brown
Men,Triangle,Spring,Gym/Sport,Track Pants,Brown
Men,Apple,Summer,Ethnic,Track Pants,Blue
Women,Inverted Triangle,Autumn,Gym/Sport,Skirt,Red
Women,Inverted Triangle,Summer,Gym/Sport,Salwar,Purple
Women,Rectangle,Autumn,Party,Trousers,Brown
Men,Apple,Winter,Casual,Formal Pants,White
Women,Triangle,Summer,Ethnic,Jeans,Black
Women,Triangle,Spring,Gym/Sport,Jeans,Blue
Men,Triangle,Spring,Business,Jeans,Red
Men,Rectangle,Autumn,Gym/Sport,Shorts,Olive
Women,Triangle,Summer,Party,Leggings,Olive
Men,V-Shape,Winter,Ethnic,Chinos,Blue
Men,Triangle,Autumn,Business,Formal Pants,Olive
Men,Apple,Autumn,Ethnic,Trousers,Pink
Men,Apple,Autumn,Ethnic,Formal Pants,Navy Blue
Men,V-Shape,Spring,Casual,Chinos,Blue
Men,V-Shape,Summer,Casual,Chinos,Grey
Men,Triangle,Autumn,Party,Chinos,Brown
Women,Round,Summer,Gym/Sport,Palazzo,Red
Men,Apple,Autumn,Casual,Kurta Pajama,Grey
Men,Rectangle,Spring,Business,Track Pants,Navy Blue
Women,Hourglass,Spring,Party,Salwar,Brown
Women,Round,Winter,Party,Leggings,Blue
Men,V-Shape,Summer,Party,Trousers,Beige
Men,Rectangle,Summer,Party,Track Pants,Black
Women,Round,Spring,Gym/Sport,Sharara,Red
Women,Hourglass,Autumn,Party,Trousers,Grey
Women,Round,Summer,Gym/Sport,Jeans,Navy Blue
Men,V-Shape,Spring,Gym/Sport,Kurta Pajama,Red
Men,V-Shape,Winter,Gym/Sport,Jeans,Pink
Men,Triangle,Spring,Party,Kurta Pajama,Grey
Women,Triangle,Summer,Gym/Sport,Sharara,Navy Blue
Men,Rectangle,Autumn,Ethnic,Jeans,Black
Women,Hourglass,Summer,Ethnic,Sharara,Grey
Women,Hourglass,Winter,Business,Leggings,Black
Men,Rectangle,Autumn,Casual,Formal Pants,Olive
Men,Rectangle,Winter,Gym/Sport,Track Pants,Olive
Men,Rectangle,Winter,Party,Chinos,Navy Blue
Women,Hourglass,Spring,Party,Palazzo,Purple
Men,Triangle,Summer,Gym/Sport,Track Pants,Pink
Women,Triangle,Winter,Business,Salwar,Brown
Men,Apple,Winter,Business,Track Pants,Navy Blue
Women,Rectangle,Autumn,Casual,Skirt,Navy Blue
Women,Rectangle,Autumn,Casual,Sharara,White
Men,V-Shape,Autumn,Ethnic,Kurta Pajama,Red
Men,Triangle,Winter,Business,Shorts,Navy Blue
Men,Apple,Winter,Gym/Sport,Shorts,Blue
Women,Inverted Triangle,Autumn,Casual,Sharara,Navy Blue
Women,Round,Autumn,Party,Trousers,Red
Women,Triangle,Summer,Business,Sharara,White
Women,Triangle,Winter,Party,Salwar,Beige
Women,Inverted Triangle,Winter,Party,Trousers,Beige
Women,Rectangle,Summer,Ethnic,Sharara,Purple
Women,Rectangle,Spring,Casual,Salwar,Blue
Women,Inverted Triangle,Autumn,Business,Trousers,Beige
Men,Triangle,Summer,Gym/Sport,Track Pants,Beige
Women,Hourglass,Winter,Business,Sharara,Purple
Men,Triangle,Summer,Business,Shorts,Purple
Men,V-Shape,Autumn,Gym/Sport,Jeans,Black
Women,Hourglass,Spring,Business,Skirt,Black
Men,Apple,Summer,Ethnic,Trousers,Brown
Women,Round,Winter,Business,Trousers,Navy Blue
Men,Apple,Spring,Casual,Jeans,Pink
Men,V-Shape,Spring,Gym/Sport,Formal Pants,Red
Men,Triangle,Summer,Casual,Chinos,White
Men,Rectangle,Spring,Party,Chinos,Purple
Men,Apple,Winter,Casual,Chinos,Red
Men,Rectangle,Summer,Ethnic,Trousers,Beige
Men,Rectangle,Spring,Gym/Sport,Formal Pants,Purple
Women,Round,Autumn,Party,Palazzo,Pink
Men,Triangle,Autumn,Casual,Formal Pants,Pink
Men,V-Shape,Summer,Party,Jeans,Beige
Women,Round,Winter,Casual,Skirt,Grey
Women,Triangle,Spring,Ethnic,Salwar,Navy Blue
Women,Hourglass,Summer,Ethnic,Salwar,Red
Men,Apple,Winter,Casual,Chinos,Brown
Women,Round,Winter,Party,Trousers,Beige
Men,V-Shape,Summer,Ethnic,Trousers,Black
Men,V-Shape,Autumn,Gym/Sport,Formal Pants,Beige
Men,Triangle,Summer,Gym/Sport,Formal Pants,Navy Blue
Men,Apple,Spring,Party,Formal Pants,White
Women,Hourglass,Summer,Gym/Sport,Palazzo,Purple
Women,Inverted Triangle,Spring,Casual,Jeans,White
Women,Round,Spring,Ethnic,Skirt,White
Men,Rectangle,Autumn,Casual,Jeans,Beige
Women,Hourglass,Summer,Ethnic,Leggings,Beige
Women,Hourglass,Autumn,Casual,Jeans,Brown
Men,V-Shape,Summer,Casual,Kurta Pajama,Beige
Men,Rectangle,Spring,Casual,Shorts,Red
Women,Triangle,Autumn,Casual,Trousers,Pink
Women,Hourglass,Autumn,Ethnic,Salwar,Navy Blue
Women,Round,Spring,Casual,Skirt,Purple
Men,Apple,Summer,Gym/Sport,Trousers,Blue
Women,Round,Summer,Business,Trousers,Navy Blue
Men,V-Shape,Spring,Ethnic,Shorts,White
Men,V-Shape,Summer,Casual,Chinos,Olive
Men,Apple,Spring,Business,Track Pants,Pink
Women,Rectangle,Autumn,Gym/Sport,Sharara,Navy Blue
Men,Triangle,Autumn,Party,Track Pants,Beige
Women,Rectangle,Summer,Gym/Sport,Palazzo,Blue
Women,Rectangle,Winter,Business,Sharara,Navy Blue
Men,Apple,Spring,Gym/Sport,Kurta Pajama,Pink
Women,Rectangle,Autumn,Business,Trousers,Red
Women,Rectangle,Summer,Party,Jeans,Navy Blue
Men,Apple,Spring,Business,Shorts,Grey
Women,Inverted Triangle,Spring,Ethnic,Jeans,Black
Women,Inverted Triangle,Summer,Business,Leggings,Navy Blue
Women,Round,Summer,Casual,Trousers,White
Women,Inverted Triangle,Spring,Gym/Sport,Jeans,Navy Blue
Women,Round,Winter,Party,Salwar,White
Women,Round,Spring,Casual,Skirt,Black
Women,Rectangle,Winter,Ethnic,Sharara,Grey
Women,Triangle,Winter,Gym/Sport,Jeans,White
Men,Apple,Autumn,Party,Shorts,Olive
Men,Triangle,Summer,Ethnic,Chinos,Grey
Women,Rectangle,Winter,Party,Skirt,Pink
Women,Round,Autumn,Party,Trousers,Blue
Women,Rectangle,Spring,Party,Leggings,Red
Women,Inverted Triangle,Autumn,Party,Trousers,Brown
Men,Rectangle,Spring,Casual,Trousers,Black
Women,Inverted Triangle,Spring,Gym/Sport,Skirt,Olive
Men,V-Shape,Spring,Casual,Shorts,Brown
Women,Hourglass,Autumn,Party,Leggings,Grey
Men,V-Shape,Summer,Casual,Formal Pants,Brown
Men,V-Shape,Autumn,Party,Chinos,Red
Women,Hourglass,Winter,Ethnic,Trousers,Brown
Men,V-Shape,Summer,Casual,Formal Pants,Red
Men,Apple,Autumn,Gym/Sport,Chinos,Purple
Women,Round,Summer,Party,Trousers,Red
Men,V-Shape,Winter,Ethnic,Jeans,Brown
Women,Rectangle,Summer,Business,Salwar,Navy Blue
Men,V-Shape,Spring,Ethnic,Track Pants,Pink
Women,Inverted Triangle,Spring,Party,Palazzo,Black
Men,Rectangle,Summer,Business,Kurta Pajama,Olive
Men,Apple,Winter,Business,Shorts,Brown
Women,Round,Spring,Party,Trousers,Purple
Women,Triangle,Autumn,Casual,Leggings,Red
Women,Round,Summer,Casual,Palazzo,Grey
Women,Round,Autumn,Ethnic,Palazzo,Blue
Women,Triangle,Winter,Party,Palazzo,Black
Women,Rectangle,Winter,Ethnic,Jeans,Pink
Women,Round,Winter,Ethnic,Jeans,Olive
Men,Triangle,Winter,Ethnic,Track Pants,Purple
Women,Rectangle,Summer,Ethnic,Salwar,Grey
Men,Rectangle,Winter,Party,Kurta Pajama,Red
Men,Apple,Autumn,Casual,Kurta Pajama,Navy Blue
Women,Round,Summer,Gym/Sport,Salwar,Navy Blue
Men,Apple,Spring,Party,Formal Pants,Grey
Women,Triangle,Winter,Party,Trousers,Blue
Men,Apple,Winter,Gym/Sport,Track Pants,Brown
Men,Triangle,Winter,Business,Track Pants,Olive
Men,Rectangle,Winter,Casual,Trousers,Blue
Men,Apple,Spring,Gym/Sport,Formal Pants,Olive
Women,Triangle,Spring,Casual,Leggings,Pink
Women,Hourglass,Winter,Business,Leggings,Purple
Men,Triangle,Summer,Business,Shorts,Navy Blue
Women,Rectangle,Autumn,Party,Salwar,White
Women,Triangle,Summer,Party,Palazzo,Navy Blue
Men,Apple,Autumn,Casual,Formal Pants,White
Men,V-Shape,Autumn,Ethnic,Kurta Pajama,Red
Men,Apple,Spring,Casual,Track Pants,Black
Men,Apple,Summer,Gym/Sport,Formal Pants,Red
Men,Rectangle,Spring,Casual,Jeans,Brown
Women,Rectangle,Spring,Casual,Salwar,Brown
Women,Round,Summer,Ethnic,Palazzo,Navy Blue
Women,Inverted Triangle,Autumn,Casual,Jeans,Pink
Men,Apple,Spring,Casual,Formal Pants,Olive
Women,Round,Winter,Ethnic,Leggings,Beige
Men,Triangle,Spring,Ethnic,Formal Pants,Purple
Women,Hourglass,Winter,Casual,Leggings,Navy Blue
Men,Triangle,Spring,Business,Shorts,Black
Men,Apple,Autumn,Gym/Sport,Jeans,Purple
Women,Inverted Triangle,Winter,Ethnic,Sharara,Pink
Men,Apple,Spring,Business,Shorts,Beige
Women,Hourglass,Summer,Gym/Sport,Jeans,White
Women,Hourglass,Autumn,Party,Salwar,Brown
Women,Rectangle,Summer,Party,Salwar,Brown
Women,Round,Summer,Casual,Sharara,Navy Blue
Women,Hourglass,Winter,Party,Skirt,Grey
Men,Rectangle,Summer,Casual,Shorts,Grey
Women,Triangle,Autumn,Ethnic,Salwar,Pink
Men,Rectangle,Summer,Gym/Sport,Track Pants,Pink
Men,Triangle,Winter,Party,Chinos,Navy Blue
Men,Triangle,Spring,Business,Formal Pants,Grey
Men,Triangle,Spring,Ethnic,Formal Pants,Navy Blue
Men,V-Shape,Spring,Party,Formal Pants,Black
Men,Apple,Autumn,Casual,Chinos,White
Men,Apple,Winter,Ethnic,Jeans,Brown
Men,Rectangle,Autumn,Business,Trousers,Red
Men,Apple,Autumn,Party,Trousers,Black
Men,Apple,Spring,Gym/Sport,Track Pants,Black
Men,Triangle,Winter,Gym/Sport,Formal Pants,Black
Men,Rectangle,Summer,Gym/Sport,Formal Pants,Beige
Women,Hourglass,Winter,Party,Jeans,Beige
Women,Rectangle,Autumn,Business,Jeans,Navy Blue
Women,Round,Winter,Gym/Sport,Salwar,Navy Blue
Women,Hourglass,Summer,Business,Leggings,Grey
Men,V-Shape,Summer,Business,Shorts,Pink
Men,Apple,Summer,Party,Chinos,Olive
Women,Triangle,Summer,Business,Sharara,Purple
Women,Round,Spring,Party,Trousers,Brown
Men,V-Shape,Winter,Business,Kurta Pajama,Olive
Women,Inverted Triangle,Spring,Casual,Trousers,Purple
Women,Round,Autumn,Ethnic,Palazzo,Brown
Women,Hourglass,Winter,Business,Leggings,Black
Men,Apple,Spring,Casual,Trousers,Pink
Men,V-Shape,Winter,Business,Chinos,Navy Blue
Men,V-Shape,Spring,Business,Chinos,Purple
Men,Rectangle,Summer,Casual,Trousers,Black
Men,Apple,Spring,Business,Chinos,Blue
Women,Round,Spring,Ethnic,Trousers,Brown
Women,Round,Winter,Party,Palazzo,Brown
Men,V-Shape,Autumn,Party,Shorts,Beige
Women,Triangle,Autumn,Party,Sharara,Beige
Men,Rectangle,Autumn,Gym/Sport,Kurta Pajama,Blue
Women,Rectangle,Spring,Casual,Jeans,Olive
Women,Rectangle,Summer,Gym/Sport,Salwar,Black
Men,Triangle,Autumn,Party,Track Pants,Navy Blue
Men,Apple,Autumn,Party,Formal Pants,Olive
Men,V-Shape,Spring,Casual,Trousers,Purple
Women,Hourglass,Autumn,Ethnic,Trousers,White
Men,V-Shape,Spring,Business,Track Pants,Red
Women,Rectangle,Winter,Gym/Sport,Skirt,Black
Women,Triangle,Autumn,Ethnic,Skirt,Black
Men,V-Shape,Summer,Business,Jeans,Red
Men,V-Shape,Spring,Gym/Sport,Shorts,White
Men,Triangle,Winter,Party,Kurta Pajama,Olive
Men,Rectangle,Summer,Business,Formal Pants,Beige
Men,Rectangle,Summer,Gym/Sport,Shorts,Black
Men,V-Shape,Winter,Gym/Sport,Track Pants,Blue
Women,Hourglass,Summer,Business,Leggings,Navy Blue
Men,Apple,Spring,Gym/Sport,Jeans,Purple
Men,Apple,Spring,Business,Formal Pants,White
Women,Inverted Triangle,Winter,Ethnic,Jeans,Beige
Men,V-Shape,Summer,Gym/Sport,Formal Pants,Brown
Women,Round,Summer,Party,Trousers,Purple
Men,V-Shape,Winter,Ethnic,Shorts,Beige
Men,Triangle,Spring,Gym/Sport,Track Pants,Olive
Men,V-Shape,Summer,Casual,Trousers,Pink
Women,Hourglass,Summer,Party,Palazzo,Blue
Men,Apple,Spring,Ethnic,Jeans,Pink
Men,V-Shape,Spring,Ethnic,Jeans,Grey
Women,Inverted Triangle,Autumn,Business,Trousers,Grey
Men,Apple,Summer,Business,Chinos,Blue
Women,Round,Winter,Casual,Sharara,White
Women,Inverted Triangle,Summer,Ethnic,Jeans,White
Men,V-Shape,Winter,Ethnic,Formal Pants,Beige
Men,Rectangle,Autumn,Gym/Sport,Kurta Pajama,Olive
Women,Rectangle,Spring,Gym/Sport,Trousers,Blue
Men,V-Shape,Summer,Gym/Sport,Shorts,White
Women,Inverted Triangle,Autumn,Gym/Sport,Leggings,Blue
Men,V-Shape,Autumn,Casual,Formal Pants,Black
Men,Triangle,Spring,Ethnic,Shorts,Pink
Men,Rectangle,Winter,Party,Formal Pants,Brown
Women,Round,Autumn,Casual,Leggings,White
Women,Triangle,Autumn,Ethnic,Trousers,Purple
Women,Triangle,Winter,Party,Palazzo,Brown
Women,Hourglass,Autumn,Party,Palazzo,Pink
Men,V-Shape,Spring,Gym/Sport,Jeans,Purple
Men,Rectangle,Spring,Party,Kurta Pajama,White
Men,Triangle,Spring,Gym/Sport,Kurta Pajama,Black
Women,Triangle,Autumn,Gym/Sport,Jeans,Purple
Women,Round,Winter,Gym/Sport,Trousers,Olive
Men,Rectangle,Winter,Gym/Sport,Kurta Pajama,Olive
Men,Triangle,Spring,Gym/Sport,Formal Pants,Brown
Men,Apple,Summer,Casual,Kurta Pajama,Pink
Women,Hourglass,Winter,Gym/Sport,Palazzo,Grey
Women,Round,Winter,Party,Leggings,Blue
Men,V-Shape,Summer,Gym/Sport,Trousers,Brown
Men,Rectangle,Summer,Ethnic,Formal Pants,Brown
Women,Inverted Triangle,Winter,Gym/Sport,Sharara,Black
Men,Triangle,Autumn,Ethnic,Formal Pants,Olive
Women,Rectangle,Winter,Gym/Sport,Salwar,Beige
Men,V-Shape,Autumn,Party,Track Pants,Red
Women,Inverted Triangle,Summer,Business,Jeans,Black
Women,Rectangle,Summer,Gym/Sport,Skirt,Olive
Men,V-Shape,Winter,Casual,Track Pants,White
Women,Hourglass,Winter,Business,Sharara,White
Men,Triangle,Summer,Gym/Sport,Jeans,Black
Men,Rectangle,Winter,Ethnic,Formal Pants,Purple
Men,Apple,Spring,Business,Chinos,Black
Men,Triangle,Spring,Business,Track Pants,White
Women,Round,Winter,Casual,Jeans,Pink
Women,Hourglass,Spring,Party,Skirt,White
Women,Hourglass,Spring,Party,Trousers,Olive
Women,Hourglass,Summer,Business,Trousers,Blue
Men,Rectangle,Spring,Ethnic,Shorts,Olive
Men,Rectangle,Autumn,Party,Formal Pants,Beige
Women,Hourglass,Spring,Casual,Jeans,Black
Men,V-Shape,Spring,Gym/Sport,Chinos,Black
Men,Rectangle,Summer,Gym/Sport,Formal Pants,Red
Women,Hourglass,Winter,Casual,Jeans,Grey
Men,V-Shape,Spring,Ethnic,Shorts,Purple
Men,V-Shape,Autumn,Business,Trousers,Navy Blue
Women,Round,Autumn,Business,Skirt,White
Women,Inverted Triangle,Spring,Casual,Sharara,Grey
Women,Hourglass,Summer,Party,Trousers,Beige
Men,Rectangle,Autumn,Business,Formal Pants,Blue
Women,Hourglass,Summer,Party,Palazzo,Black
Men,Apple,Summer,Ethnic,Jeans,Purple
Men,Triangle,Summer,Business,Trousers,Purple
Men,Apple,Spring,Ethnic,Kurta Pajama,White
Men,Apple,Autumn,Party,Track Pants,Black
Men,Rectangle,Summer,Gym/Sport,Trousers,Pink
Women,Rectangle,Autumn,Business,Salwar,Blue
Men,V-Shape,Spring,Party,Chinos,Beige
Women,Triangle,Autumn,Gym/Sport,Leggings,Purple
Men,V-Shape,Winter,Business,Formal Pants,Brown
Men,V-Shape,Autumn,Casual,Shorts,Olive
Men,Apple,Autumn,Business,Kurta Pajama,White
Men,Triangle,Spring,Business,Formal Pants,Pink
Women,Inverted Triangle,Winter,Gym/Sport,Palazzo,Pink
Women,Round,Spring,Ethnic,Salwar,White
Women,Inverted Triangle,Summer,Business,Jeans,Blue
Women,Round,Winter,Ethnic,Sharara,White
Women,Round,Spring,Ethnic,Palazzo,Black
Women,Inverted Triangle,Autumn,Business,Salwar,Grey
Women,Hourglass,Autumn,Business,Leggings,Olive
Women,Inverted Triangle,Spring,Party,Leggings,Grey
Men,Triangle,Spring,Gym/Sport,Chinos,Black
Women,Triangle,Winter,Ethnic,Palazzo,White
Women,Round,Summer,Business,Palazzo,Brown
Men,Rectangle,Summer,Business,Shorts,Purple
Men,Apple,Summer,Gym/Sport,Chinos,Navy Blue
Men,Triangle,Winter,Party,Formal Pants,Pink
Women,Triangle,Summer,Business,Skirt,Pink
Women,Round,Winter,Ethnic,Palazzo,Navy Blue
Women,Triangle,Summer,Business,Trousers,Black
Men,V-Shape,Autumn,Party,Shorts,Red
Women,Round,Winter,Party,Trousers,Brown
Men,V-Shape,Spring,Party,Shorts,Olive
Women,Triangle,Winter,Party,Trousers,Pink
Men,Rectangle,Autumn,Gym/Sport,Trousers,Beige
Women,Inverted Triangle,Spring,Casual,Palazzo,Blue
Men,Triangle,Autumn,Ethnic,Trousers,Navy Blue
Men,Apple,Autumn,Gym/Sport,Kurta Pajama,Beige
Women,Inverted Triangle,Spring,Gym/Sport,Skirt,Pink
Women,Round,Winter,Party,Jeans,Purple
Men,Rectangle,Summer,Party,Trousers,Red
Men,Apple,Summer,Casual,Trousers,Blue
Men,Rectangle,Winter,Casual,Shorts,Purple
Men,Triangle,Spring,Party,Kurta Pajama,Black
Men,Triangle,Summer,Gym/Sport,Trousers,Blue
Men,Rectangle,Winter,Ethnic,Trousers,Purple
Women,Round,Spring,Ethnic,Leggings,Navy Blue
Men,Rectangle,Spring,Casual,Trousers,Grey
Men,Rectangle,Spring,Ethnic,Trousers,Pink
Men,Rectangle,Winter,Gym/Sport,Formal Pants,Purple
Women,Inverted Triangle,Spring,Ethnic,Palazzo,Beige
Men,Apple,Summer,Ethnic,Kurta Pajama,Navy Blue
Men,Apple,Spring,Casual,Track Pants,Purple
Women,Round,Summer,Party,Jeans,Navy Blue
Women,Inverted Triangle,Summer,Party,Skirt,Black
Women,Triangle,Autumn,Casual,Palazzo,Navy Blue
Women,Round,Spring,Party,Leggings,Brown
Women,Triangle,Autumn,Gym/Sport,Trousers,Brown
Women,Inverted Triangle,Summer,Ethnic,Jeans,White
Men,Triangle,Autumn,Gym/Sport,Jeans,Purple
Women,Round,Spring,Casual,Salwar,Brown
Women,Round,Autumn,Gym/Sport,Skirt,Beige
Men,Apple,Spring,Ethnic,Kurta Pajama,Blue
Men,Triangle,Spring,Gym/Sport,Track Pants,Brown
Women,Triangle,Summer,Party,Trousers,Navy Blue
Men,Rectangle,Autumn,Business,Trousers,Black
Men,Triangle,Summer,Ethnic,Shorts,Black
Men,Apple,Summer,Casual,Jeans,Black
Women,Inverted Triangle,Autumn,Casual,Skirt,Pink
Women,Inverted Triangle,Autumn,Business,Palazzo,Brown
Women,Rectangle,Summer,Gym/Sport,Salwar,Navy Blue
Men,Apple,Summer,Ethnic,Track Pants,Purple
Men,V-Shape,Spring,Party,Formal Pants,White
Women,Inverted Triangle,Autumn,Party,Trousers,Beige
Women,Inverted Triangle,Spring,Party,Salwar,Navy Blue
Men,Rectangle,Winter,Gym/Sport,Formal Pants,Navy Blue
Women,Rectangle,Summer,Casual,Jeans,Purple
Women,Rectangle,Spring,Business,Jeans,Black
Women,Hourglass,Winter,Gym/Sport,Sharara,Olive
Women,Hourglass,Winter,Party,Jeans,Grey
Women,Rectangle,Winter,Gym/Sport,Trousers,White
Women,Round,Winter,Party,Sharara,Grey
Women,Round,Autumn,Party,Salwar,Grey
Women,Hourglass,Summer,Ethnic,Jeans,Olive
Men,Triangle,Autumn,Ethnic,Trousers,Purple
Women,Inverted Triangle,Autumn,Casual,Sharara,Navy Blue
Women,Hourglass,Spring,Gym/Sport,Jeans,Black
Men,Rectangle,Summer,Business,Kurta Pajama,Purple
Men,Triangle,Autumn,Gym/Sport,Formal Pants,Olive
Women,Hourglass,Summer,Ethnic,Salwar,Olive
Men,Rectangle,Winter,Party,Chinos,Blue
Women,Round,Spring,Ethnic,Skirt,Purple
Men,Rectangle,Spring,Gym/Sport,Trousers,Grey
Women,Round,Summer,Business,Trousers,Red
Men,Triangle,Summer,Business,Formal Pants,Red
Women,Inverted Triangle,Autumn,Party,Palazzo,Grey
Men,V-Shape,Autumn,Casual,Formal Pants,Grey
Women,Inverted Triangle,Autumn,Ethnic,Palazzo,Grey
Men,Triangle,Summer,Casual,Formal Pants,Beige
Women,Triangle,Summer,Ethnic,Palazzo,Grey
Women,Rectangle,Spring,Casual,Sharara,Black
Men,V-Shape,Autumn,Business,Jeans,Pink
Men,Rectangle,Autumn,Party,Chinos,Navy Blue
Women,Inverted Triangle,Spring,Ethnic,Leggings,Brown
Men,Rectangle,Winter,Ethnic,Jeans,Red
Men,V-Shape,Autumn,Gym/Sport,Formal Pants,Brown
Men,V-Shape,Autumn,Party,Jeans,Purple
Women,Rectangle,Autumn,Ethnic,Leggings,Red
Men,V-Shape,Autumn,Party,Jeans,Grey
Women,Round,Summer,Ethnic,Salwar,Brown
Men,V-Shape,Autumn,Casual,Track Pants,Brown
Women,Rectangle,Spring,Gym/Sport,Leggings,Pink
Men,Apple,Winter,Business,Trousers,Navy Blue
Men,Triangle,Spring,Ethnic,Shorts,Black
Women,Hourglass,Autumn,Gym/Sport,Salwar,Beige
Women,Inverted Triangle,Winter,Gym/Sport,Sharara,Grey
Women,Inverted Triangle,Spring,Business,Leggings,Blue
Men,V-Shape,Winter,Ethnic,Kurta Pajama,Blue
Women,Hourglass,Summer,Casual,Salwar,Brown
Women,Rectangle,Summer,Party,Trousers,Grey
Women,Rectangle,Summer,Gym/Sport,Skirt,Purple
Men,Apple,Spring,Business,Kurta Pajama,White
Men,Triangle,Autumn,Business,Track Pants,Grey
Women,Hourglass,Spring,Casual,Palazzo,Beige
Women,Triangle,Spring,Business,Salwar,Pink
Women,Hourglass,Spring,Party,Jeans,Pink
Men,V-Shape,Autumn,Gym/Sport,Trousers,Red
Women,Triangle,Spring,Party,Trousers,Beige
Men,Triangle,Autumn,Business,Formal Pants,White
Men,Rectangle,Summer,Business,Trousers,Pink
Women,Rectangle,Autumn,Ethnic,Jeans,Purple
Men,V-Shape,Winter,Casual,Shorts,Brown
Women,Triangle,Autumn,Gym/Sport,Jeans,Red
Women,Inverted Triangle,Spring,Gym/Sport,Jeans,Red
Men,Triangle,Summer,Party,Track Pants,Purple
Women,Triangle,Spring,Casual,Salwar,Black
Women,Round,Spring,Party,Leggings,Pink
Women,Hourglass,Summer,Party,Leggings,Olive
Women,Triangle,Summer,Business,Skirt,Blue
Men,Triangle,Winter,Casual,Kurta Pajama,Blue
Men,Triangle,Winter,Business,Track Pants,White
Men,V-Shape,Spring,Gym/Sport,Jeans,Olive
Men,Triangle,Spring,Party,Shorts,White
Men,Triangle,Winter,Business,Track Pants,White
Men,Rectangle,Winter,Gym/Sport,Formal Pants,Red
Men,Rectangle,Winter,Ethnic,Trousers,Pink
Men,Triangle,Summer,Business,Trousers,Pink
Men,Rectangle,Spring,Ethnic,Kurta Pajama,Purple
Men,Apple,Spring,Gym/Sport,Chinos,Brown
Men,Rectangle,Winter,Business,Shorts,Black
Women,Triangle,Spring,Party,Palazzo,Olive
Men,Triangle,Summer,Party,Track Pants,Olive
Women,Rectangle,Winter,Gym/Sport,Leggings,Purple
Women,Round,Summer,Ethnic,Palazzo,Blue
