gender,body_type,season,occasion,upper_cloth,color
Women,Inverted Triangle,Spring,Casual,Kurti,Navy Blue
Men,V-Shape,Spring,Party,Blazer,Green
Men,Rectangle,Summer,Casual,Blazer,Yellow
Women,Inverted Triangle,Autumn,Ethnic,T-Shirt,Red
Women,Hourglass,Summer,Ethnic,Kurti,Pink
Women,Hourglass,Autumn,Business,Blouse,Grey
Women,Rectangle,Winter,Casual,Top,Purple
Women,Rectangle,Winter,Ethnic,Kurti,Navy Blue
Men,Rectangle,Autumn,Gym/Sport,T-Shirt,Grey
Women,Round,Summer,Casual,Top,Pink
Women,Hourglass,Autumn,Casual,Crop Top,White
Women,Inverted Triangle,Autumn,Business,Crop Top,Yellow
Women,Inverted Triangle,Winter,Casual,Kurti,Black
Women,Inverted Triangle,Summer,Business,Shrug,Blue
Women,Inverted Triangle,Winter,Ethnic,Jacket,Blue
Women,Inverted Triangle,Autumn,Ethnic,Shrug,Black
Men,Apple,Winter,Casual,Hoodie,Blue
Men,V-Shape,Autumn,Casual,T-Shirt,Grey
Women,Rectangle,Autumn,Business,Top,Pink
Women,Hourglass,Spring,Casual,Shrug,Green
Men,V-Shape,Autumn,Casual,Kurta,Purple
Men,Apple,Autumn,Casual,Blazer,Black
Men,Apple,Autumn,Gym/Sport,T-Shirt,Red
Men,Rectangle,Summer,Casual,Sweatshirt,Red
Men,V-Shape,Autumn,Party,Hoodie,Blue
Men,V-Shape,Spring,Casual,Shirt,White
Women,Hourglass,Spring,Party,Blouse,Beige
Women,Rectangle,Spring,Business,Blouse,Black
Women,Rectangle,Autumn,Casual,Jacket,Black
Men,Rectangle,Autumn,Party,Jacket,Black
Men,Rectangle,Autumn,Casual,Kurta,Grey
Women,Inverted Triangle,Winter,Business,Crop Top,Grey
Women,Round,Spring,Gym/Sport,Crop Top,Beige
Men,Rectangle,Spring,Casual,Shirt,Purple
Men,Rectangle,Summer,Casual,Jacket,Olive
Men,Rectangle,Winter,Casual,Jacket,Beige
Women,Rectangle,Winter,Casual,Jacket,Olive
Men,Rectangle,Winter,Casual,Kurta,Pink
Men,Apple,Winter,Casual,Shirt,Black
Women,Triangle,Winter,Gym/Sport,Sweater,Navy Blue
Men,Triangle,Summer,Gym/Sport,T-Shirt,Black
Men,Triangle,Summer,Ethnic,Kurta,Green
Men,Triangle,Summer,Casual,Blazer,Navy Blue
Women,Inverted Triangle,Autumn,Business,Crop Top,White
Men,V-Shape,Summer,Business,Kurta,Green
Women,Triangle,Spring,Gym/Sport,Jacket,Beige
Men,Apple,Spring,Ethnic,Polo T-Shirt,White
Women,Rectangle,Autumn,Ethnic,Shrug,Purple
Men,Apple,Spring,Business,T-Shirt,Navy Blue
Women,Inverted Triangle,Autumn,Ethnic,Crop Top,Green
Women,Round,Autumn,Gym/Sport,T-Shirt,Purple
Men,Triangle,Autumn,Business,Hoodie,Red
Women,Rectangle,Summer,Business,T-Shirt,Green
Women,Round,Summer,Casual,Blouse,Grey
Women,Inverted Triangle,Winter,Business,T-Shirt,Navy Blue
Men,Triangle,Winter,Gym/Sport,Blazer,Yellow
Men,Rectangle,Winter,Gym/Sport,Sweatshirt,White
Men,Triangle,Autumn,Business,Blazer,Pink
Men,Rectangle,Summer,Casual,Kurta,Red
Men,Rectangle,Summer,Gym/Sport,Hoodie,Red
Women,Triangle,Autumn,Casual,Kurti,Grey
Women,Hourglass,Summer,Gym/Sport,Shrug,Olive
Men,Triangle,Summer,Party,Sweatshirt,Red
Women,Hourglass,Winter,Ethnic,Top,Olive
Women,Rectangle,Spring,Party,Crop Top,Black
Women,Rectangle,Summer,Party,Top,Blue
Men,Triangle,Summer,Business,Sweatshirt,Pink
Women,Triangle,Summer,Party,Top,Purple
Women,Hourglass,Winter,Party,Crop Top,Grey
Men,V-Shape,Autumn,Gym/Sport,Kurta,Black
Women,Rectangle,Spring,Casual,Top,Grey
Women,Rectangle,Spring,Ethnic,T-Shirt,Pink
Men,V-Shape,Spring,Party,Hoodie,Grey
Women,Inverted Triangle,Autumn,Ethnic,T-Shirt,Black
Men,V-Shape,Winter,Casual,Hoodie,Navy Blue
Women,Hourglass,Summer,Ethnic,Crop Top,Green
Women,Hourglass,Winter,Gym/Sport,Kurti,Black
Men,Apple,Winter,Casual,Kurta,Olive
Men,Triangle,Spring,Ethnic,Jacket,Black
Men,Triangle,Winter,Gym/Sport,Polo T-Shirt,Pink
Men,Triangle,Spring,Party,Kurta,Blue
Women,Rectangle,Autumn,Ethnic,Top,Pink
Men,Rectangle,Spring,Gym/Sport,T-Shirt,Navy Blue
Men,Rectangle,Spring,Gym/Sport,Jacket,Olive
Women,Inverted Triangle,Spring,Casual,Jacket,Grey
Men,Apple,Autumn,Gym/Sport,Kurta,Purple
Men,Apple,Winter,Ethnic,Polo T-Shirt,Black
Men,V-Shape,Winter,Party,Hoodie,Beige
Men,Rectangle,Winter,Business,Polo T-Shirt,Black
Women,Round,Summer,Party,Crop Top,Olive
Men,V-Shape,Spring,Casual,Blazer,White
Women,Inverted Triangle,Winter,Ethnic,Jacket,Green
Men,Rectangle,Summer,Gym/Sport,Blazer,Olive
Women,Inverted Triangle,Summer,Party,Kurti,Pink
Men,Apple,Spring,Business,Sweatshirt,Olive
Women,Rectangle,Autumn,Business,Jacket,Beige
Women,Hourglass,Winter,Ethnic,Jacket,Yellow
Men,Apple,Winter,Business,Kurta,Navy Blue
Women,Round,Winter,Party,Blouse,Beige
Women,Rectangle,Summer,Party,Sweater,Pink
Women,Triangle,Spring,Gym/Sport,Blouse,Black
Women,Triangle,Spring,Casual,Shrug,Yellow
Men,V-Shape,Winter,Party,Kurta,Navy Blue
Men,V-Shape,Autumn,Party,Blazer,Grey
Men,Apple,Winter,Ethnic,Kurta,Yellow
Women,Rectangle,Summer,Ethnic,Sweater,Grey
Women,Rectangle,Winter,Party,Crop Top,Red
Women,Inverted Triangle,Spring,Gym/Sport,Sweater,Navy Blue
Women,Rectangle,Winter,Gym/Sport,T-Shirt,Yellow
Men,Rectangle,Autumn,Ethnic,Polo T-Shirt,Navy Blue
Women,Triangle,Winter,Ethnic,Shrug,Purple
Women,Round,Spring,Ethnic,Top,White
Men,V-Shape,Winter,Business,Blazer,White
Men,Apple,Winter,Casual,Sweatshirt,Pink
Men,V-Shape,Spring,Party,Polo T-Shirt,Pink
Women,Inverted Triangle,Autumn,Business,Kurti,Grey
Men,Triangle,Winter,Party,Kurta,Pink
Men,Triangle,Summer,Business,Shirt,Purple
Women,Triangle,Spring,Ethnic,Blouse,Black
Men,Triangle,Autumn,Gym/Sport,Kurta,Olive
Women,Inverted Triangle,Autumn,Casual,T-Shirt,Purple
Women,Round,Summer,Gym/Sport,Sweater,Blue
Men,Rectangle,Spring,Party,Jacket,Yellow
Women,Round,Summer,Gym/Sport,Top,Navy Blue
Men,Triangle,Summer,Business,Kurta,Green
Men,Triangle,Autumn,Gym/Sport,Blazer,Purple
Men,Apple,Summer,Gym/Sport,Polo T-Shirt,Pink
Men,Apple,Autumn,Business,Sweatshirt,Yellow
Men,Rectangle,Autumn,Business,Sweatshirt,Red
Women,Rectangle,Winter,Gym/Sport,Top,Red
Women,Inverted Triangle,Winter,Casual,T-Shirt,Black
Men,Triangle,Winter,Gym/Sport,Hoodie,Green
Women,Round,Summer,Party,Top,White
Women,Rectangle,Spring,Gym/Sport,Jacket,Grey
Men,Apple,Spring,Ethnic,Kurta,Blue
Men,Rectangle,Autumn,Ethnic,Shirt,Purple
Men,Apple,Winter,Business,Jacket,Navy Blue
Women,Hourglass,Summer,Gym/Sport,T-Shirt,White
Women,Rectangle,Spring,Party,T-Shirt,Yellow
Men,Rectangle,Winter,Ethnic,Sweatshirt,Red
Women,Rectangle,Autumn,Business,Shrug,Navy Blue
Men,V-Shape,Summer,Ethnic,T-Shirt,Red
Women,Rectangle,Autumn,Gym/Sport,T-Shirt,Yellow
Women,Round,Winter,Party,Crop Top,Navy Blue
Women,Hourglass,Winter,Gym/Sport,Sweater,Purple
Women,Rectangle,Spring,Ethnic,Jacket,Black
Women,Triangle,Spring,Business,Shrug,Yellow
Women,Hourglass,Autumn,Casual,Jacket,Black
Women,Inverted Triangle,Summer,Gym/Sport,Crop Top,Grey
Women,Round,Autumn,Business,Blouse,Beige
Women,Hourglass,Spring,Party,Crop Top,Yellow
Women,Rectangle,Spring,Casual,Jacket,Blue
Women,Round,Spring,Business,Shrug,Navy Blue
Men,Apple,Winter,Party,Jacket,Grey
Men,Rectangle,Winter,Party,Kurta,Navy Blue
Men,Rectangle,Autumn,Party,Jacket,Black
Women,Hourglass,Spring,Party,Kurti,Black
Women,Inverted Triangle,Winter,Business,Jacket,Green
Men,V-Shape,Winter,Ethnic,Sweatshirt,Grey
Men,Apple,Winter,Party,Kurta,Blue
Women,Round,Spring,Gym/Sport,Jacket,White
Men,Triangle,Winter,Ethnic,T-Shirt,Black
Men,Rectangle,Spring,Party,Shirt,Pink
Men,Apple,Winter,Ethnic,Blazer,Green
Women,Triangle,Autumn,Party,Blouse,Purple
Women,Inverted Triangle,Autumn,Casual,Jacket,Pink
Women,Inverted Triangle,Summer,Party,Kurti,Yellow
Women,Round,Autumn,Casual,Sweater,Yellow
Men,Triangle,Winter,Party,Shirt,Navy Blue
Women,Rectangle,Winter,Party,Jacket,Yellow
Women,Round,Spring,Gym/Sport,Kurti,Olive
Men,V-Shape,Winter,Ethnic,Polo T-Shirt,Purple
Men,V-Shape,Summer,Casual,Sweatshirt,Navy Blue
Men,Apple,Autumn,Gym/Sport,Jacket,White
Men,V-Shape,Winter,Business,Hoodie,Blue
Women,Triangle,Winter,Gym/Sport,Top,Red
Men,V-Shape,Summer,Gym/Sport,Polo T-Shirt,Black
Men,Rectangle,Autumn,Party,Sweatshirt,Pink
Women,Hourglass,Winter,Casual,Blouse,Grey
Women,Triangle,Spring,Casual,T-Shirt,Black
Women,Round,Spring,Business,Blouse,Yellow
Women,Inverted Triangle,Spring,Business,Blouse,Black
Women,Round,Winter,Business,Crop Top,Olive
Men,Rectangle,Autumn,Ethnic,Blazer,Green
Women,Round,Summer,Party,Blouse,Beige
Men,V-Shape,Summer,Ethnic,Shirt,Black
Women,Hourglass,Winter,Gym/Sport,T-Shirt,Navy Blue
Men,Rectangle,Winter,Ethnic,T-Shirt,Black
Women,Triangle,Winter,Gym/Sport,Kurti,Green
Men,Triangle,Autumn,Gym/Sport,Sweatshirt,Beige
Men,Triangle,Summer,Casual,Hoodie,Beige
Men,V-Shape,Summer,Party,Shirt,Olive
Men,V-Shape,Spring,Ethnic,Polo T-Shirt,Beige
Women,Inverted Triangle,Spring,Business,Shrug,White
Women,Hourglass,Spring,Party,Jacket,Red
Women,Round,Winter,Party,Shrug,Yellow
Men,Apple,Autumn,Party,Polo T-Shirt,Yellow
Men,V-Shape,Autumn,Party,Blazer,Red
Women,Rectangle,Autumn,Business,Blouse,Black
Women,Inverted Triangle,Winter,Ethnic,Crop Top,Pink
Men,Rectangle,Summer,Casual,Blazer,Navy Blue
Women,Triangle,Autumn,Casual,Sweater,Purple
Men,Rectangle,Autumn,Ethnic,Shirt,Yellow
Men,V-Shape,Summer,Party,T-Shirt,Green
Women,Triangle,Autumn,Party,Jacket,Navy Blue
Women,Triangle,Summer,Party,T-Shirt,Pink
Women,Triangle,Autumn,Ethnic,Jacket,Black
Women,Triangle,Winter,Party,Shrug,Black
Men,Apple,Spring,Business,Shirt,Navy Blue
Men,V-Shape,Autumn,Gym/Sport,T-Shirt,Red
Men,Triangle,Spring,Ethnic,T-Shirt,Yellow
Women,Triangle,Spring,Gym/Sport,Top,Navy Blue
Men,V-Shape,Autumn,Gym/Sport,Jacket,Navy Blue
Women,Round,Winter,Party,Blouse,Blue
Women,Round,Autumn,Business,Top,Purple
Men,Apple,Summer,Gym/Sport,Polo T-Shirt,Navy Blue
Men,V-Shape,Spring,Business,Polo T-Shirt,Grey
Women,Rectangle,Winter,Ethnic,Kurti,Beige
Men,Triangle,Winter,Gym/Sport,Jacket,Pink
Men,Rectangle,Autumn,Gym/Sport,Kurta,Pink
Men,Apple,Summer,Ethnic,T-Shirt,Blue
Women,Rectangle,Autumn,Party,Crop Top,Blue
Men,Rectangle,Autumn,Casual,Kurta,Blue
Women,Triangle,Autumn,Ethnic,Shrug,Grey
Women,Inverted Triangle,Autumn,Casual,Top,Pink
Men,Rectangle,Winter,Gym/Sport,Polo T-Shirt,Yellow
Women,Rectangle,Summer,Business,Top,Purple
Men,Apple,Summer,Gym/Sport,Shirt,Red
Men,V-Shape,Winter,Gym/Sport,Sweatshirt,Olive
Men,Rectangle,Winter,Ethnic,Hoodie,Grey
Men,V-Shape,Spring,Casual,Hoodie,Grey
Men,Rectangle,Autumn,Business,T-Shirt,White
Men,Apple,Spring,Casual,T-Shirt,Purple
Women,Rectangle,Spring,Business,Blouse,Yellow
Men,Apple,Summer,Ethnic,Polo T-Shirt,Purple
Women,Triangle,Summer,Casual,Top,Grey
Men,V-Shape,Spring,Gym/Sport,Kurta,Pink
Women,Rectangle,Spring,Gym/Sport,Top,Blue
Men,Triangle,Autumn,Gym/Sport,Sweatshirt,Beige
Women,Hourglass,Winter,Gym/Sport,Shrug,White
Men,Triangle,Autumn,Ethnic,Hoodie,Grey
Men,Apple,Autumn,Casual,Sweatshirt,Olive
Women,Inverted Triangle,Winter,Ethnic,Jacket,Black
Men,Apple,Winter,Ethnic,Polo T-Shirt,Olive
Women,Round,Autumn,Business,Jacket,Grey
Women,Rectangle,Spring,Ethnic,Top,Yellow
Women,Rectangle,Spring,Ethnic,Shrug,Red
Men,Rectangle,Autumn,Business,Sweatshirt,Purple
Men,Rectangle,Autumn,Gym/Sport,Kurta,Purple
Women,Triangle,Spring,Casual,T-Shirt,Olive
Women,Hourglass,Summer,Party,Sweater,Olive
Women,Hourglass,Winter,Business,Shrug,Green
Women,Hourglass,Summer,Casual,Shrug,Red
Men,V-Shape,Spring,Ethnic,Kurta,Purple
Women,Hourglass,Autumn,Business,Top,Purple
Men,V-Shape,Autumn,Casual,T-Shirt,Blue
Men,Apple,Spring,Gym/Sport,Blazer,Blue
Women,Round,Autumn,Gym/Sport,Sweater,Beige
Women,Rectangle,Summer,Gym/Sport,Kurti,Yellow
Women,Round,Summer,Gym/Sport,T-Shirt,Beige
Women,Round,Autumn,Casual,Crop Top,Blue
Women,Round,Autumn,Gym/Sport,T-Shirt,Blue
Women,Hourglass,Winter,Business,Crop Top,Blue
Men,Triangle,Autumn,Business,Shirt,White
Men,Apple,Autumn,Business,Blazer,Olive
Women,Hourglass,Autumn,Casual,Jacket,White
Men,Rectangle,Autumn,Business,Blazer,Grey
Women,Inverted Triangle,Winter,Party,Jacket,Grey
Women,Inverted Triangle,Autumn,Casual,Sweater,Black
Women,Rectangle,Summer,Ethnic,Shrug,Red
Men,Rectangle,Summer,Gym/Sport,Kurta,Purple
Women,Hourglass,Autumn,Business,Blouse,Blue
Men,V-Shape,Winter,Ethnic,Jacket,Yellow
Women,Triangle,Summer,Casual,T-Shirt,Red
Men,Apple,Winter,Ethnic,Shirt,Navy Blue
Women,Round,Summer,Party,Jacket,Purple
Women,Hourglass,Spring,Casual,Blouse,Blue
Women,Rectangle,Winter,Business,Blouse,Green
Men,Apple,Winter,Gym/Sport,Blazer,White
Women,Round,Autumn,Business,T-Shirt,Green
Women,Hourglass,Autumn,Gym/Sport,Crop Top,Blue
Men,Triangle,Summer,Business,Hoodie,White
Women,Rectangle,Winter,Casual,Kurti,Blue
Men,Triangle,Summer,Casual,Blazer,Beige
Men,Triangle,Summer,Party,Jacket,Pink
Men,Rectangle,Autumn,Gym/Sport,Sweatshirt,White
Men,Rectangle,Winter,Gym/Sport,Shirt,Black
Men,V-Shape,Autumn,Party,Kurta,Black
Women,Round,Autumn,Gym/Sport,Blouse,Yellow
Women,Rectangle,Winter,Party,T-Shirt,Blue
Men,Apple,Spring,Ethnic,Blazer,Red
Men,Triangle,Autumn,Gym/Sport,Blazer,Navy Blue
Women,Rectangle,Winter,Ethnic,Shrug,Green
Women,Inverted Triangle,Summer,Ethnic,Top,Beige
Women,Hourglass,Spring,Party,Shrug,Purple
Men,V-Shape,Autumn,Business,T-Shirt,Grey
Men,Rectangle,Autumn,Party,Blazer,Pink
Men,Rectangle,Summer,Party,Jacket,White
Men,Triangle,Summer,Casual,Sweatshirt,Beige
Men,Triangle,Autumn,Party,Blazer,Black
Women,Triangle,Autumn,Business,T-Shirt,Blue
Men,Triangle,Spring,Gym/Sport,Sweatshirt,Pink
Men,Apple,Winter,Business,Sweatshirt,Olive
Men,Rectangle,Summer,Casual,Kurta,Blue
Women,Round,Spring,Business,Sweater,Green
Women,Round,Summer,Gym/Sport,Top,Pink
Men,V-Shape,Summer,Party,Jacket,Yellow
Men,Apple,Spring,Party,Blazer,Pink
Men,Triangle,Spring,Casual,Jacket,Grey
Men,Apple,Summer,Casual,Jacket,Yellow
Women,Triangle,Autumn,Gym/Sport,Jacket,Black
Women,Round,Summer,Gym/Sport,T-Shirt,Green
Women,Hourglass,Spring,Ethnic,Shrug,White
Women,Rectangle,Autumn,Party,T-Shirt,Beige
Men,Triangle,Spring,Ethnic,Sweatshirt,White
Women,Round,Spring,Business,Kurti,Grey
Men,Rectangle,Summer,Gym/Sport,Hoodie,White
Women,Triangle,Winter,Casual,Top,Navy Blue
Women,Hourglass,Summer,Party,Shrug,Beige
Women,Round,Summer,Ethnic,Blouse,Pink
Women,Hourglass,Spring,Business,Crop Top,Black
Women,Rectangle,Spring,Party,Crop Top,Grey
Men,Apple,Spring,Gym/Sport,Shirt,Navy Blue
Women,Round,Autumn,Casual,Shrug,Purple
Men,Triangle,Autumn,Business,Shirt,Grey
Men,Apple,Summer,Casual,Kurta,Purple
Men,V-Shape,Winter,Party,Blazer,Red
Men,Rectangle,Spring,Casual,Hoodie,White
Men,Rectangle,Autumn,Party,Sweatshirt,Green
Men,V-Shape,Winter,Gym/Sport,Kurta,White
Women,Rectangle,Summer,Party,Shrug,Grey
Men,Triangle,Autumn,Gym/Sport,Jacket,Red
Women,Inverted Triangle,Autumn,Ethnic,Crop Top,Purple
Men,V-Shape,Winter,Party,Polo T-Shirt,Olive
Men,V-Shape,Winter,Business,Sweatshirt,Red
Men,V-Shape,Spring,Business,Kurta,Olive
Men,Triangle,Autumn,Casual,Blazer,Olive
Women,Hourglass,Autumn,Casual,Blouse,Navy Blue
Men,Rectangle,Winter,Party,Hoodie,Navy Blue
Women,Rectangle,Autumn,Casual,Kurti,Red
Men,Rectangle,Autumn,Business,Blazer,Black
Men,Triangle,Summer,Party,Sweatshirt,Yellow
Women,Triangle,Spring,Casual,Jacket,Olive
Women,Rectangle,Summer,Ethnic,Shrug,Olive
Men,V-Shape,Winter,Casual,Kurta,Red
Women,Triangle,Winter,Party,Kurti,Blue
Women,Triangle,Winter,Casual,Kurti,Yellow
Men,Rectangle,Winter,Business,Shirt,Yellow
Women,Hourglass,Autumn,Ethnic,Top,Olive
Women,Inverted Triangle,Winter,Business,Crop Top,Beige
Women,Inverted Triangle,Winter,Business,Kurti,Navy Blue
Men,V-Shape,Winter,Gym/Sport,Hoodie,Purple
Women,Triangle,Summer,Gym/Sport,T-Shirt,Navy Blue
Men,V-Shape,Spring,Gym/Sport,Jacket,Black
Men,Triangle,Autumn,Ethnic,T-Shirt,Blue
Men,Rectangle,Spring,Business,Blazer,Pink
Women,Triangle,Winter,Business,Top,Navy Blue
Women,Round,Winter,Business,Crop Top,Purple
Women,Triangle,Autumn,Ethnic,Crop Top,Grey
Men,V-Shape,Summer,Casual,T-Shirt,Red
Women,Inverted Triangle,Winter,Gym/Sport,Blouse,Beige
Women,Round,Autumn,Ethnic,Blouse,Beige
Women,Triangle,Spring,Ethnic,Shrug,Red
Women,Rectangle,Spring,Business,Kurti,Yellow
Men,V-Shape,Summer,Party,Shirt,Black
Women,Inverted Triangle,Winter,Ethnic,Shrug,Pink
Women,Rectangle,Spring,Party,Top,Black
Women,Rectangle,Spring,Gym/Sport,Shrug,Red
Men,Rectangle,Summer,Ethnic,Sweatshirt,Yellow
Women,Hourglass,Spring,Casual,Crop Top,Olive
Men,Triangle,Summer,Gym/Sport,Hoodie,White
Men,Apple,Autumn,Ethnic,Blazer,Yellow
Women,Rectangle,Winter,Ethnic,Shrug,Olive
Men,Apple,Summer,Ethnic,Blazer,Purple
Men,Rectangle,Autumn,Business,T-Shirt,Olive
Women,Triangle,Summer,Party,Top,Olive
Men,V-Shape,Spring,Gym/Sport,Kurta,White
Women,Inverted Triangle,Summer,Gym/Sport,Shrug,Purple
Women,Hourglass,Summer,Party,Kurti,Purple
Men,Triangle,Summer,Casual,Blazer,White
Men,Rectangle,Spring,Party,Jacket,Blue
Men,Rectangle,Summer,Casual,Sweatshirt,Red
Men,Apple,Spring,Business,Jacket,Pink
Women,Round,Spring,Ethnic,Kurti,Purple
Men,Apple,Spring,Casual,Kurta,Beige
Women,Inverted Triangle,Winter,Party,Top,White
Men,Triangle,Summer,Party,Polo T-Shirt,Red
Women,Inverted Triangle,Spring,Gym/Sport,Blouse,Olive
Women,Round,Winter,Ethnic,Blouse,Purple
Men,V-Shape,Spring,Ethnic,Polo T-Shirt,Olive
Men,V-Shape,Autumn,Ethnic,Sweatshirt,Red
Women,Inverted Triangle,Winter,Business,Shrug,Blue
Men,Rectangle,Summer,Party,Shirt,Pink
Women,Round,Summer,Ethnic,Jacket,Olive
Men,Triangle,Spring,Party,Blazer,Olive
Men,V-Shape,Autumn,Casual,T-Shirt,Yellow
Men,Apple,Spring,Gym/Sport,Blazer,Olive
Women,Hourglass,Autumn,Gym/Sport,Sweater,Olive
Women,Triangle,Spring,Ethnic,Sweater,Red
Women,Hourglass,Autumn,Gym/Sport,Jacket,Navy Blue
Men,Triangle,Autumn,Casual,Shirt,Beige
Women,Triangle,Winter,Party,Jacket,Red
Men,Apple,Spring,Business,Shirt,Yellow
Women,Inverted Triangle,Summer,Casual,Shrug,Beige
Women,Inverted Triangle,Winter,Gym/Sport,Blouse,Navy Blue
Men,Triangle,Winter,Business,Sweatshirt,Black
Men,V-Shape,Spring,Casual,Kurta,Navy Blue
Men,V-Shape,Winter,Party,Sweatshirt,Red
Women,Inverted Triangle,Winter,Ethnic,Blouse,Olive
Women,Round,Summer,Business,Kurti,Grey
Men,V-Shape,Spring,Gym/Sport,Sweatshirt,Red
Women,Hourglass,Winter,Gym/Sport,Jacket,Olive
Women,Rectangle,Winter,Party,Jacket,Red
Women,Inverted Triangle,Summer,Ethnic,Shrug,Grey
Men,Triangle,Autumn,Gym/Sport,Sweatshirt,Red
Men,Triangle,Summer,Casual,Polo T-Shirt,Black
Women,Rectangle,Winter,Business,Top,Olive
Men,Apple,Summer,Casual,Hoodie,Beige
Men,V-Shape,Spring,Business,T-Shirt,Green
Women,Inverted Triangle,Summer,Ethnic,Shrug,Purple
Men,V-Shape,Winter,Gym/Sport,Blazer,Yellow
Women,Inverted Triangle,Spring,Casual,Top,Purple
Men,Apple,Winter,Casual,Kurta,Grey
Men,V-Shape,Autumn,Gym/Sport,Hoodie,Purple
Women,Round,Winter,Casual,T-Shirt,Grey
Men,Apple,Winter,Gym/Sport,Blazer,White
Men,Rectangle,Summer,Gym/Sport,Blazer,Green
Men,Apple,Winter,Business,Sweatshirt,Yellow
Women,Triangle,Spring,Business,Crop Top,Green
Women,Round,Autumn,Party,T-Shirt,Pink
Women,Rectangle,Autumn,Casual,T-Shirt,Red
Women,Rectangle,Autumn,Gym/Sport,Blouse,Red
Men,Rectangle,Spring,Business,Sweatshirt,Grey
Men,Apple,Spring,Ethnic,Sweatshirt,Olive
Women,Inverted Triangle,Autumn,Gym/Sport,Blouse,Purple
Men,Rectangle,Winter,Ethnic,Polo T-Shirt,White
Men,Apple,Autumn,Ethnic,Polo T-Shirt,Olive
Men,Rectangle,Spring,Party,Polo T-Shirt,Grey
Women,Rectangle,Autumn,Casual,T-Shirt,Blue
Women,Triangle,Winter,Business,Crop Top,Green
Women,Rectangle,Autumn,Business,Kurti,Navy Blue
Women,Hourglass,Winter,Party,T-Shirt,Pink
Men,Apple,Autumn,Business,Sweatshirt,Blue
Women,Rectangle,Summer,Party,Blouse,Blue
Women,Rectangle,Summer,Business,Blouse,Beige
Men,Rectangle,Winter,Casual,Sweatshirt,Beige
Women,Inverted Triangle,Winter,Party,Blouse,White
Men,V-Shape,Autumn,Casual,Jacket,Blue
Men,Triangle,Spring,Party,Jacket,Olive
Women,Round,Autumn,Business,T-Shirt,Beige
Women,Hourglass,Summer,Ethnic,Kurti,Grey
Women,Round,Summer,Gym/Sport,Shrug,White
Women,Hourglass,Spring,Casual,Top,Yellow
Women,Hourglass,Spring,Party,Jacket,Beige
Men,Triangle,Summer,Business,Polo T-Shirt,Green
Men,V-Shape,Summer,Party,Jacket,Yellow
Men,V-Shape,Autumn,Ethnic,Kurta,Yellow
Men,Apple,Winter,Gym/Sport,T-Shirt,Grey
Women,Inverted Triangle,Autumn,Gym/Sport,Jacket,Red
Women,Rectangle,Spring,Ethnic,Shrug,Beige
Women,Inverted Triangle,Autumn,Casual,Crop Top,Beige
Women,Hourglass,Winter,Ethnic,Kurti,Blue
Men,Triangle,Summer,Gym/Sport,Kurta,Blue
Men,Apple,Autumn,Ethnic,Sweatshirt,Green
Women,Round,Winter,Ethnic,Kurti,Beige
Women,Hourglass,Spring,Party,T-Shirt,Olive
Men,V-Shape,Summer,Business,Kurta,Blue
Women,Hourglass,Autumn,Gym/Sport,Jacket,Olive
Men,Triangle,Spring,Casual,Hoodie,Red
Men,Triangle,Summer,Business,Hoodie,Purple
Men,Apple,Winter,Gym/Sport,Polo T-Shirt,Olive
Men,V-Shape,Summer,Party,Jacket,Pink
Women,Inverted Triangle,Winter,Party,T-Shirt,Green
Women,Hourglass,Spring,Ethnic,T-Shirt,Pink
Men,Triangle,Winter,Party,Hoodie,Purple
Men,Triangle,Winter,Business,T-Shirt,Blue
Women,Inverted Triangle,Autumn,Gym/Sport,Crop Top,Purple
Men,Rectangle,Winter,Casual,Sweatshirt,Grey
Women,Hourglass,Autumn,Casual,Crop Top,Yellow
Women,Triangle,Spring,Gym/Sport,Top,White
Men,Rectangle,Summer,Casual,Sweatshirt,Pink
Men,Apple,Autumn,Casual,Blazer,Red
Men,Apple,Spring,Party,T-Shirt,White
Women,Rectangle,Autumn,Ethnic,Crop Top,Purple
Women,Rectangle,Winter,Party,Blouse,Red
Women,Hourglass,Autumn,Gym/Sport,Top,Navy Blue
Women,Hourglass,Summer,Ethnic,Shrug,Green
Women,Rectangle,Winter,Gym/Sport,Kurti,Yellow
Men,Triangle,Spring,Gym/Sport,Sweatshirt,Purple
Men,V-Shape,Winter,Casual,Polo T-Shirt,Black
Women,Inverted Triangle,Spring,Business,Crop Top,Yellow
Men,Rectangle,Summer,Ethnic,Blazer,Red
Women,Triangle,Winter,Gym/Sport,Kurti,Black
Men,Apple,Winter,Party,Sweatshirt,Yellow
Women,Round,Winter,Casual,Crop Top,Red
Women,Hourglass,Summer,Party,Crop Top,Blue
Men,Apple,Autumn,Casual,T-Shirt,Grey
Men,V-Shape,Spring,Casual,Polo T-Shirt,Pink
Men,Triangle,Spring,Casual,Hoodie,Red
Men,V-Shape,Spring,Ethnic,Jacket,Black
Women,Inverted Triangle,Winter,Ethnic,Crop Top,Olive
Men,Apple,Autumn,Party,T-Shirt,Navy Blue
Women,Rectangle,Spring,Party,Kurti,Blue
Men,Rectangle,Winter,Party,Hoodie,Blue
Women,Round,Autumn,Casual,Top,Red
Men,Apple,Summer,Casual,Polo T-Shirt,Grey
Women,Rectangle,Winter,Party,Blouse,Purple
Men,Triangle,Spring,Casual,Hoodie,Navy Blue
Women,Rectangle,Winter,Ethnic,T-Shirt,Navy Blue
