gender,body_type,season,occasion,accessories
Men,Rectangle,Spring,Gym/Sport,Watch
Women,Triangle,Winter,Casual,Watch
Men,V-Shape,Winter,Business,Tie
Men,Triangle,Summer,Party,Cap
Men,V-Shape,Spring,Casual,Watch
Men,V-Shape,Winter,Business,Leather Shoes
Women,Round,Summer,Ethnic,Scarf
Women,Rectangle,Spring,Casual,Handbag
Men,V-Shape,Winter,Gym/Sport,Tie
Women,Inverted Triangle,Autumn,Gym/Sport,Watch
Women,Rectangle,Summer,Business,Clutch
Women,Triangle,Spring,Casual,Belt
Men,Rectangle,Spring,Gym/Sport,Sneakers
Women,Rectangle,Spring,Party,Watch
Women,Inverted Triangle,Summer,Party,Clutch
Men,Triangle,Autumn,Ethnic,Watch
Men,Triangle,Summer,Casual,Watch
Women,Inverted Triangle,Summer,Party,Heels
Men,Rectangle,Winter,Ethnic,Cufflinks
Men,Rectangle,Summer,Business,Sneakers
Women,Rectangle,Winter,Ethnic,Clutch
Men,Triangle,Spring,Gym/Sport,Watch
Women,Triangle,Winter,Party,Heels
Men,Apple,Winter,Casual,Watch
Men,Apple,Autumn,Party,Cufflinks
Women,Hourglass,Summer,Ethnic,Belt
Women,Rectangle,Autumn,Casual,Heels
Men,Apple,Spring,Gym/Sport,Tie
Women,Rectangle,Autumn,Party,Heels
Women,Rectangle,Winter,Ethnic,Clutch
Women,Inverted Triangle,Summer,Casual,Watch
Men,V-Shape,Summer,Gym/Sport,Cap
Men,Triangle,Summer,Ethnic,Sneakers
Men,Rectangle,Autumn,Gym/Sport,Cufflinks
Men,Triangle,Autumn,Casual,Cap
Men,Rectangle,Summer,Gym/Sport,Cap
Men,Apple,Winter,Party,Sneakers
Women,Triangle,Spring,Casual,Heels
Men,Apple,Autumn,Ethnic,Watch
Men,V-Shape,Summer,Casual,Leather Shoes
Men,V-Shape,Summer,Casual,Leather Shoes
Women,Hourglass,Summer,Party,Belt
Men,Apple,Winter,Party,Cufflinks
Women,Hourglass,Winter,Party,Earrings
Women,Round,Spring,Gym/Sport,Heels
Women,Round,Summer,Ethnic,Handbag
Women,Hourglass,Spring,Ethnic,Earrings
Women,Inverted Triangle,Autumn,Party,Clutch
Women,Inverted Triangle,Winter,Ethnic,Heels
Men,V-Shape,Spring,Casual,Watch
Women,Hourglass,Autumn,Party,Scarf
Women,Rectangle,Summer,Business,Earrings
Women,Round,Autumn,Party,Clutch
Men,V-Shape,Spring,Business,Watch
Women,Hourglass,Winter,Business,Clutch
Women,Triangle,Autumn,Gym/Sport,Earrings
Women,Hourglass,Summer,Gym/Sport,Watch
Women,Round,Winter,Business,Watch
Men,Apple,Autumn,Ethnic,Watch
Women,Hourglass,Summer,Casual,Belt
Men,Triangle,Autumn,Party,Cufflinks
Men,Rectangle,Summer,Ethnic,Cap
Women,Inverted Triangle,Winter,Casual,Scarf
Men,Rectangle,Spring,Gym/Sport,Sneakers
Women,Round,Spring,Party,Handbag
Men,Triangle,Winter,Business,Cap
Men,Apple,Winter,Gym/Sport,Cufflinks
Women,Triangle,Spring,Party,Scarf
Men,Rectangle,Summer,Party,Tie
Men,Triangle,Winter,Gym/Sport,Tie
Women,Hourglass,Summer,Casual,Clutch
Women,Triangle,Spring,Casual,Handbag
Women,Inverted Triangle,Winter,Business,Belt
Men,V-Shape,Winter,Casual,Cufflinks
Men,Apple,Spring,Party,Sneakers
Men,V-Shape,Summer,Casual,Cufflinks
Men,Rectangle,Spring,Party,Sneakers
Men,Triangle,Summer,Gym/Sport,Leather Shoes
Women,Rectangle,Winter,Business,Handbag
Women,Hourglass,Winter,Gym/Sport,Earrings
Women,Inverted Triangle,Winter,Gym/Sport,Heels
Men,Apple,Summer,Ethnic,Cap
Women,Triangle,Spring,Gym/Sport,Belt
Men,Rectangle,Autumn,Party,Tie
Men,V-Shape,Spring,Ethnic,Leather Shoes
Women,Inverted Triangle,Spring,Ethnic,Belt
Women,Triangle,Winter,Gym/Sport,Earrings
Men,Apple,Winter,Party,Sneakers
Men,V-Shape,Summer,Ethnic,Leather Shoes
Women,Round,Winter,Party,Earrings
Women,Hourglass,Spring,Party,Watch
Women,Round,Autumn,Business,Belt
Men,Apple,Spring,Ethnic,Cufflinks
Women,Triangle,Winter,Party,Belt
Men,Triangle,Winter,Party,Cufflinks
Women,Hourglass,Winter,Ethnic,Clutch
Women,Hourglass,Autumn,Ethnic,Scarf
Women,Hourglass,Winter,Business,Heels
Men,Rectangle,Winter,Business,Cufflinks
Women,Rectangle,Autumn,Gym/Sport,Scarf
Men,Apple,Winter,Ethnic,Watch
Women,Rectangle,Spring,Casual,Earrings
Men,V-Shape,Summer,Gym/Sport,Watch
Men,Triangle,Spring,Party,Watch
Men,Apple,Spring,Casual,Leather Shoes
Men,Apple,Spring,Business,Cap
Men,Apple,Autumn,Party,Leather Shoes
Women,Triangle,Autumn,Ethnic,Heels
Women,Round,Summer,Gym/Sport,Belt
Women,Inverted Triangle,Spring,Ethnic,Belt
Men,Rectangle,Autumn,Party,Sneakers
Women,Rectangle,Autumn,Ethnic,Belt
Women,Inverted Triangle,Winter,Business,Heels
Women,Rectangle,Spring,Business,Earrings
Men,Triangle,Spring,Party,Sneakers
Women,Inverted Triangle,Autumn,Party,Watch
Men,Rectangle,Winter,Gym/Sport,Cufflinks
Women,Round,Winter,Gym/Sport,Heels
Men,Rectangle,Winter,Business,Leather Shoes
Women,Inverted Triangle,Autumn,Gym/Sport,Watch
Men,Rectangle,Autumn,Casual,Watch
Women,Rectangle,Summer,Gym/Sport,Clutch
Men,V-Shape,Summer,Casual,Watch
Women,Hourglass,Spring,Business,Heels
Women,Hourglass,Summer,Casual,Scarf
Women,Inverted Triangle,Summer,Business,Heels
Women,Rectangle,Autumn,Business,Earrings
Women,Round,Summer,Casual,Earrings
Men,V-Shape,Spring,Gym/Sport,Leather Shoes
Men,Rectangle,Winter,Casual,Watch
Women,Inverted Triangle,Spring,Party,Scarf
Women,Hourglass,Spring,Party,Heels
Women,Triangle,Spring,Party,Heels
Men,Apple,Summer,Ethnic,Leather Shoes
Women,Hourglass,Summer,Business,Handbag
Women,Hourglass,Spring,Ethnic,Watch
Women,Triangle,Winter,Business,Watch
Men,V-Shape,Autumn,Gym/Sport,Cufflinks
Women,Inverted Triangle,Spring,Ethnic,Watch
Men,Rectangle,Spring,Casual,Leather Shoes
Women,Inverted Triangle,Spring,Gym/Sport,Heels
Women,Rectangle,Summer,Ethnic,Earrings
Women,Rectangle,Autumn,Ethnic,Scarf
Men,Rectangle,Summer,Party,Cap
Men,Rectangle,Winter,Business,Leather Shoes
Women,Round,Summer,Business,Heels
Men,Rectangle,Spring,Gym/Sport,Cap
Women,Inverted Triangle,Autumn,Casual,Watch
Women,Rectangle,Winter,Gym/Sport,Scarf
Men,Apple,Spring,Gym/Sport,Cap
Women,Triangle,Summer,Party,Belt
Men,Apple,Winter,Business,Leather Shoes
Women,Rectangle,Autumn,Ethnic,Scarf
Women,Round,Spring,Business,Belt
Men,Rectangle,Spring,Business,Cufflinks
Men,V-Shape,Spring,Casual,Sneakers
Women,Inverted Triangle,Spring,Party,Earrings
Women,Inverted Triangle,Spring,Ethnic,Belt
Men,Rectangle,Autumn,Party,Watch
Men,Apple,Summer,Party,Cap
Women,Triangle,Summer,Party,Earrings
Men,Rectangle,Spring,Casual,Sneakers
Men,Triangle,Summer,Party,Cap
Men,Rectangle,Autumn,Ethnic,Sneakers
Women,Inverted Triangle,Spring,Casual,Belt
Men,Triangle,Spring,Party,Cap
Women,Inverted Triangle,Winter,Business,Watch
Men,Apple,Autumn,Gym/Sport,Sneakers
Women,Inverted Triangle,Summer,Ethnic,Scarf
Men,Rectangle,Winter,Ethnic,Sneakers
Women,Rectangle,Spring,Party,Watch
Men,Triangle,Spring,Party,Sneakers
Men,Triangle,Summer,Ethnic,Leather Shoes
Women,Hourglass,Autumn,Gym/Sport,Watch
Men,Rectangle,Spring,Ethnic,Leather Shoes
Women,Rectangle,Summer,Business,Watch
Women,Round,Spring,Business,Scarf
Men,V-Shape,Autumn,Casual,Tie
Women,Inverted Triangle,Spring,Casual,Scarf
Men,Triangle,Summer,Ethnic,Sneakers
Men,Apple,Winter,Business,Watch
Men,Rectangle,Autumn,Party,Watch
Men,V-Shape,Autumn,Ethnic,Cap
Women,Triangle,Autumn,Casual,Scarf
Women,Round,Winter,Business,Scarf
Women,Round,Winter,Party,Heels
Women,Rectangle,Summer,Ethnic,Belt
Men,Rectangle,Winter,Party,Watch
Men,Triangle,Spring,Casual,Tie
Women,Inverted Triangle,Summer,Business,Belt
Men,Triangle,Summer,Ethnic,Leather Shoes
Men,Triangle,Winter,Ethnic,Leather Shoes
Women,Hourglass,Autumn,Gym/Sport,Clutch
Women,Triangle,Winter,Gym/Sport,Handbag
Women,Hourglass,Winter,Casual,Earrings
Men,Apple,Winter,Business,Cufflinks
Women,Inverted Triangle,Winter,Party,Belt
Women,Hourglass,Winter,Party,Watch
Women,Rectangle,Summer,Casual,Scarf
Men,Rectangle,Autumn,Business,Tie
Men,Triangle,Autumn,Business,Leather Shoes
Women,Triangle,Summer,Ethnic,Watch
Men,Apple,Autumn,Casual,Cap
Women,Triangle,Summer,Business,Heels
Men,V-Shape,Autumn,Gym/Sport,Sneakers
Women,Rectangle,Winter,Gym/Sport,Watch
Women,Round,Autumn,Gym/Sport,Handbag
Men,Apple,Spring,Business,Watch
Men,Apple,Autumn,Business,Sneakers
Men,V-Shape,Spring,Party,Cap
Men,V-Shape,Autumn,Casual,Tie
Women,Triangle,Summer,Casual,Earrings
Women,Round,Winter,Casual,Watch
Men,Triangle,Spring,Business,Leather Shoes
Women,Rectangle,Spring,Business,Scarf
Men,V-Shape,Summer,Casual,Cap
Women,Rectangle,Summer,Gym/Sport,Clutch
Women,Rectangle,Autumn,Gym/Sport,Watch
Men,V-Shape,Winter,Business,Cufflinks
Women,Hourglass,Autumn,Party,Belt
Women,Round,Spring,Ethnic,Scarf
Women,Inverted Triangle,Autumn,Business,Heels
Men,Rectangle,Autumn,Party,Cap
Men,Apple,Summer,Party,Leather Shoes
Men,V-Shape,Spring,Gym/Sport,Cufflinks
Women,Round,Winter,Party,Scarf
Men,V-Shape,Summer,Party,Sneakers
Men,V-Shape,Spring,Gym/Sport,Cufflinks
Women,Inverted Triangle,Winter,Gym/Sport,Earrings
Men,Apple,Winter,Casual,Cap
Women,Rectangle,Autumn,Gym/Sport,Watch
Women,Round,Spring,Business,Watch
Women,Inverted Triangle,Winter,Business,Heels
Men,Apple,Winter,Business,Watch
Women,Inverted Triangle,Summer,Party,Handbag
Men,Triangle,Summer,Business,Sneakers
Women,Rectangle,Spring,Party,Heels
Women,Hourglass,Spring,Gym/Sport,Watch
Men,Apple,Spring,Party,Tie
Men,Apple,Autumn,Ethnic,Cap
Men,Rectangle,Summer,Business,Leather Shoes
Women,Triangle,Autumn,Party,Handbag
Men,Rectangle,Spring,Ethnic,Leather Shoes
Women,Rectangle,Summer,Party,Earrings
Men,V-Shape,Spring,Gym/Sport,Cap
Women,Triangle,Winter,Gym/Sport,Handbag
Men,Apple,Summer,Casual,Leather Shoes
Women,Rectangle,Autumn,Business,Scarf
Women,Inverted Triangle,Autumn,Ethnic,Scarf
Women,Triangle,Autumn,Ethnic,Belt
Men,Triangle,Spring,Party,Watch
Women,Rectangle,Autumn,Casual,Heels
Men,Rectangle,Summer,Business,Leather Shoes
Women,Rectangle,Autumn,Ethnic,Heels
Women,Round,Spring,Ethnic,Scarf
Women,Inverted Triangle,Winter,Ethnic,Scarf
Men,V-Shape,Spring,Party,Leather Shoes
Men,Triangle,Autumn,Business,Cap
Women,Round,Autumn,Ethnic,Earrings
Men,Triangle,Winter,Party,Watch
Women,Inverted Triangle,Autumn,Casual,Watch
Women,Rectangle,Summer,Casual,Scarf
Men,Rectangle,Spring,Gym/Sport,Cufflinks
Men,Rectangle,Summer,Casual,Tie
Women,Rectangle,Autumn,Party,Earrings
Women,Inverted Triangle,Autumn,Casual,Belt
Men,Apple,Spring,Casual,Cufflinks
Men,V-Shape,Autumn,Ethnic,Sneakers
Women,Inverted Triangle,Autumn,Business,Clutch
Women,Triangle,Summer,Ethnic,Earrings
Women,Round,Spring,Ethnic,Heels
Men,Apple,Autumn,Gym/Sport,Cap
Men,V-Shape,Autumn,Gym/Sport,Cufflinks
Men,Triangle,Winter,Casual,Sneakers
Men,V-Shape,Summer,Party,Cufflinks
Women,Inverted Triangle,Summer,Casual,Scarf
Women,Rectangle,Summer,Gym/Sport,Handbag
Men,Triangle,Summer,Business,Cufflinks
Women,Round,Autumn,Gym/Sport,Clutch
Women,Rectangle,Spring,Casual,Clutch
Women,Round,Summer,Party,Earrings
Men,Rectangle,Winter,Gym/Sport,Cap
Women,Hourglass,Winter,Casual,Watch
Women,Inverted Triangle,Summer,Ethnic,Earrings
Women,Rectangle,Winter,Party,Earrings
Men,Apple,Spring,Gym/Sport,Leather Shoes
Men,Triangle,Autumn,Party,Cufflinks
Women,Rectangle,Spring,Gym/Sport,Clutch
Women,Hourglass,Summer,Gym/Sport,Handbag
Men,Triangle,Winter,Gym/Sport,Cap
Women,Hourglass,Summer,Party,Belt
Men,Apple,Spring,Ethnic,Watch
Men,V-Shape,Spring,Gym/Sport,Leather Shoes
Women,Triangle,Summer,Party,Heels
Women,Inverted Triangle,Autumn,Ethnic,Scarf
Women,Rectangle,Autumn,Ethnic,Earrings
Women,Triangle,Spring,Party,Heels
Women,Inverted Triangle,Winter,Business,Belt
Women,Triangle,Summer,Party,Clutch
Women,Round,Autumn,Gym/Sport,Earrings
Men,Triangle,Winter,Business,Watch
Women,Round,Summer,Gym/Sport,Heels
Men,Triangle,Winter,Ethnic,Cap
Women,Triangle,Winter,Party,Earrings
Women,Hourglass,Winter,Ethnic,Watch
Women,Round,Summer,Casual,Watch
Women,Round,Spring,Party,Clutch
Women,Rectangle,Winter,Gym/Sport,Scarf
Men,Triangle,Spring,Gym/Sport,Leather Shoes
Women,Triangle,Spring,Gym/Sport,Belt
Men,Rectangle,Autumn,Business,Cufflinks
Women,Triangle,Winter,Casual,Belt
Women,Inverted Triangle,Spring,Casual,Scarf
Women,Triangle,Summer,Gym/Sport,Handbag
Women,Triangle,Autumn,Ethnic,Clutch
Women,Hourglass,Autumn,Business,Clutch
Women,Rectangle,Summer,Ethnic,Earrings
Women,Inverted Triangle,Summer,Casual,Earrings
Women,Round,Spring,Party,Scarf
Women,Triangle,Winter,Gym/Sport,Clutch
Men,Apple,Autumn,Ethnic,Cufflinks
Women,Hourglass,Winter,Business,Belt
Men,Triangle,Summer,Party,Watch
Men,V-Shape,Winter,Casual,Tie
Men,V-Shape,Spring,Business,Cap
Men,V-Shape,Autumn,Casual,Leather Shoes
Men,V-Shape,Spring,Party,Leather Shoes
Men,V-Shape,Winter,Casual,Leather Shoes
Men,Rectangle,Spring,Party,Cufflinks
Women,Triangle,Spring,Casual,Belt
Men,Triangle,Summer,Ethnic,Watch
Men,V-Shape,Winter,Ethnic,Leather Shoes
Women,Rectangle,Winter,Ethnic,Watch
Men,Rectangle,Autumn,Party,Sneakers
Women,Triangle,Autumn,Business,Handbag
Women,Hourglass,Autumn,Business,Belt
Men,Rectangle,Winter,Ethnic,Leather Shoes
Women,Triangle,Spring,Party,Earrings
Men,Rectangle,Summer,Business,Sneakers
Women,Hourglass,Autumn,Ethnic,Scarf
Men,Rectangle,Spring,Gym/Sport,Tie
Women,Triangle,Autumn,Gym/Sport,Belt
Men,Rectangle,Winter,Business,Cufflinks
Women,Inverted Triangle,Autumn,Casual,Belt
Women,Inverted Triangle,Spring,Party,Earrings
Men,V-Shape,Autumn,Party,Leather Shoes
Men,Apple,Winter,Business,Watch
Men,Apple,Spring,Party,Sneakers
Women,Round,Summer,Ethnic,Earrings
Men,Apple,Spring,Casual,Watch
Women,Triangle,Winter,Ethnic,Watch
Men,V-Shape,Summer,Business,Tie
Men,V-Shape,Summer,Party,Watch
Men,V-Shape,Winter,Ethnic,Leather Shoes
Women,Hourglass,Winter,Gym/Sport,Belt
Men,Rectangle,Autumn,Casual,Leather Shoes
Women,Inverted Triangle,Summer,Ethnic,Watch
Women,Round,Summer,Business,Handbag
Men,V-Shape,Winter,Business,Sneakers
Men,Rectangle,Winter,Gym/Sport,Cufflinks
Men,Rectangle,Spring,Ethnic,Sneakers
Women,Inverted Triangle,Summer,Business,Clutch
Women,Rectangle,Autumn,Ethnic,Belt
Women,Round,Summer,Ethnic,Belt
Men,V-Shape,Winter,Business,Cap
Men,V-Shape,Winter,Ethnic,Watch
Women,Rectangle,Spring,Gym/Sport,Watch
Men,Rectangle,Autumn,Business,Cufflinks
Women,Inverted Triangle,Winter,Casual,Scarf
Women,Round,Winter,Party,Clutch
Men,Triangle,Autumn,Ethnic,Leather Shoes
Women,Round,Autumn,Casual,Watch
Men,Apple,Autumn,Gym/Sport,Cap
Men,Apple,Summer,Party,Cap
Women,Round,Spring,Ethnic,Belt
Women,Rectangle,Summer,Gym/Sport,Watch
Women,Round,Spring,Gym/Sport,Earrings
Men,V-Shape,Autumn,Casual,Cufflinks
Men,Rectangle,Spring,Gym/Sport,Cufflinks
Men,V-Shape,Autumn,Business,Sneakers
Women,Triangle,Winter,Business,Watch
Women,Round,Autumn,Casual,Handbag
Men,V-Shape,Winter,Party,Cap
Men,Rectangle,Summer,Ethnic,Watch
Women,Round,Winter,Ethnic,Scarf
Men,Triangle,Autumn,Casual,Cufflinks
Women,Triangle,Summer,Ethnic,Heels
Women,Inverted Triangle,Spring,Business,Clutch
Women,Round,Spring,Party,Belt
Women,Round,Summer,Party,Earrings
Women,Inverted Triangle,Winter,Gym/Sport,Clutch
Men,Rectangle,Summer,Ethnic,Cufflinks
Men,V-Shape,Summer,Gym/Sport,Cufflinks
Men,V-Shape,Winter,Party,Leather Shoes
Women,Triangle,Spring,Ethnic,Scarf
Men,Apple,Autumn,Ethnic,Sneakers
Men,Rectangle,Summer,Casual,Sneakers
Men,Apple,Winter,Gym/Sport,Cap
Men,Triangle,Autumn,Ethnic,Cap
Women,Round,Winter,Party,Handbag
Men,Rectangle,Summer,Gym/Sport,Leather Shoes
Women,Inverted Triangle,Winter,Party,Belt
Men,Apple,Summer,Party,Cap
Men,Triangle,Winter,Casual,Cap
Women,Triangle,Winter,Gym/Sport,Scarf
Women,Inverted Triangle,Spring,Casual,Heels
Men,Triangle,Summer,Party,Watch
Men,Triangle,Winter,Party,Cap
Men,Triangle,Autumn,Business,Cufflinks
Men,Apple,Autumn,Casual,Cap
Women,Round,Spring,Casual,Scarf
Women,Round,Winter,Ethnic,Earrings
Men,Triangle,Summer,Gym/Sport,Cufflinks
Women,Rectangle,Spring,Ethnic,Clutch
Men,Triangle,Summer,Gym/Sport,Leather Shoes
Men,Rectangle,Autumn,Gym/Sport,Cap
Women,Rectangle,Summer,Business,Heels
Women,Inverted Triangle,Winter,Party,Heels
Women,Rectangle,Winter,Party,Scarf
Women,Hourglass,Autumn,Ethnic,Earrings
Men,V-Shape,Winter,Casual,Tie
Women,Triangle,Autumn,Party,Scarf
Women,Hourglass,Summer,Ethnic,Heels
Women,Triangle,Winter,Business,Clutch
Men,Rectangle,Winter,Gym/Sport,Cap
Women,Rectangle,Spring,Ethnic,Belt
Women,Hourglass,Spring,Business,Clutch
Women,Triangle,Winter,Party,Heels
Women,Triangle,Autumn,Gym/Sport,Heels
Men,V-Shape,Summer,Business,Tie
Men,V-Shape,Summer,Business,Leather Shoes
Women,Round,Winter,Party,Watch
Men,V-Shape,Winter,Ethnic,Cap
Men,Triangle,Summer,Casual,Leather Shoes
Women,Triangle,Spring,Party,Watch
Men,Triangle,Winter,Party,Tie
Men,Triangle,Spring,Gym/Sport,Tie
Men,Apple,Spring,Ethnic,Sneakers
Women,Inverted Triangle,Autumn,Gym/Sport,Earrings
Men,Apple,Autumn,Business,Sneakers
Women,Inverted Triangle,Summer,Gym/Sport,Clutch
Men,Rectangle,Spring,Party,Cufflinks
Women,Round,Spring,Party,Heels
Women,Inverted Triangle,Winter,Ethnic,Belt
Men,V-Shape,Spring,Business,Cufflinks
Women,Round,Winter,Casual,Handbag
Women,Hourglass,Winter,Ethnic,Heels
Women,Rectangle,Spring,Ethnic,Watch
Men,Apple,Spring,Business,Watch
Women,Triangle,Autumn,Party,Heels
Women,Round,Autumn,Business,Belt
Men,Apple,Summer,Casual,Sneakers
Women,Rectangle,Autumn,Business,Scarf
Women,Inverted Triangle,Winter,Casual,Earrings
Women,Round,Autumn,Gym/Sport,Scarf
Women,Round,Spring,Casual,Clutch
Men,V-Shape,Autumn,Casual,Sneakers
Women,Triangle,Summer,Gym/Sport,Belt
Men,V-Shape,Winter,Gym/Sport,Cap
Women,Inverted Triangle,Autumn,Party,Earrings
Women,Round,Winter,Business,Earrings
Women,Hourglass,Winter,Party,Handbag
Women,Round,Summer,Casual,Heels
Women,Rectangle,Autumn,Ethnic,Clutch
Women,Triangle,Spring,Gym/Sport,Earrings
Men,Apple,Spring,Party,Watch
Men,Triangle,Winter,Business,Sneakers
Women,Inverted Triangle,Winter,Gym/Sport,Heels
Men,Apple,Winter,Ethnic,Tie
Men,Rectangle,Autumn,Business,Cap
Women,Rectangle,Autumn,Ethnic,Scarf
Men,Triangle,Spring,Gym/Sport,Sneakers
Women,Inverted Triangle,Spring,Gym/Sport,Earrings
Women,Inverted Triangle,Summer,Ethnic,Watch
Women,Round,Autumn,Gym/Sport,Heels
Men,V-Shape,Spring,Gym/Sport,Watch
Men,Triangle,Spring,Business,Cap
Women,Rectangle,Winter,Casual,Heels
Women,Inverted Triangle,Winter,Business,Heels
Women,Rectangle,Summer,Party,Handbag
Women,Rectangle,Spring,Business,Handbag
Women,Triangle,Winter,Party,Handbag
Women,Triangle,Spring,Party,Scarf
Men,Apple,Winter,Ethnic,Leather Shoes
Women,Hourglass,Spring,Casual,Scarf
Women,Inverted Triangle,Autumn,Casual,Handbag
Men,Rectangle,Spring,Ethnic,Cap
Men,V-Shape,Spring,Gym/Sport,Cufflinks
Men,V-Shape,Winter,Ethnic,Cufflinks
Women,Inverted Triangle,Spring,Gym/Sport,Heels
Women,Inverted Triangle,Autumn,Ethnic,Handbag
Men,V-Shape,Autumn,Party,Leather Shoes
Women,Rectangle,Spring,Ethnic,Handbag
Men,Apple,Winter,Gym/Sport,Tie
Men,Rectangle,Winter,Ethnic,Tie
Men,Triangle,Spring,Ethnic,Sneakers
Men,Rectangle,Spring,Casual,Cap
Men,Rectangle,Autumn,Ethnic,Cufflinks
Women,Triangle,Spring,Business,Handbag
Women,Hourglass,Autumn,Ethnic,Handbag
Men,Triangle,Winter,Business,Cufflinks
Women,Hourglass,Winter,Casual,Earrings
Women,Inverted Triangle,Autumn,Party,Scarf
Women,Inverted Triangle,Spring,Casual,Scarf
Women,Round,Autumn,Gym/Sport,Belt
Men,Rectangle,Winter,Gym/Sport,Sneakers
Women,Inverted Triangle,Winter,Business,Handbag
Women,Triangle,Spring,Gym/Sport,Watch
Women,Round,Autumn,Business,Earrings
Men,Apple,Autumn,Party,Sneakers
Men,Triangle,Summer,Ethnic,Cufflinks
Men,Rectangle,Autumn,Business,Cap
Men,Triangle,Spring,Party,Tie
Women,Round,Autumn,Gym/Sport,Heels
Women,Inverted Triangle,Summer,Business,Watch
Men,Apple,Autumn,Business,Watch
Men,Triangle,Winter,Business,Cufflinks
Men,Triangle,Winter,Business,Sneakers
Women,Round,Winter,Business,Belt
Women,Hourglass,Spring,Ethnic,Scarf
Men,Triangle,Autumn,Party,Leather Shoes
Men,Triangle,Winter,Casual,Sneakers
Men,Rectangle,Spring,Ethnic,Tie
Men,Apple,Spring,Casual,Sneakers
Women,Hourglass,Summer,Gym/Sport,Heels
Men,Apple,Winter,Casual,Leather Shoes
Men,V-Shape,Autumn,Ethnic,Sneakers
Women,Triangle,Autumn,Casual,Scarf
Men,Triangle,Spring,Casual,Sneakers
Men,Triangle,Spring,Party,Cap
Women,Hourglass,Spring,Ethnic,Watch
Women,Inverted Triangle,Spring,Casual,Handbag
Men,Triangle,Winter,Gym/Sport,Cufflinks
Men,Triangle,Autumn,Business,Watch
Men,Apple,Autumn,Casual,Tie
Men,Triangle,Summer,Ethnic,Sneakers
Women,Round,Autumn,Casual,Handbag
Women,Rectangle,Spring,Business,Scarf
Women,Round,Spring,Business,Watch
Men,Apple,Winter,Gym/Sport,Tie
Women,Round,Autumn,Ethnic,Earrings
Men,Triangle,Summer,Party,Leather Shoes
Women,Inverted Triangle,Spring,Gym/Sport,Clutch
Women,Triangle,Summer,Business,Scarf
Men,V-Shape,Winter,Gym/Sport,Sneakers
Women,Hourglass,Autumn,Casual,Earrings
Women,Triangle,Summer,Business,Belt
Men,Triangle,Summer,Business,Tie
Men,Apple,Autumn,Casual,Cufflinks
Women,Inverted Triangle,Summer,Ethnic,Heels
Men,Triangle,Autumn,Party,Sneakers
Men,V-Shape,Summer,Casual,Watch
Men,Triangle,Autumn,Ethnic,Sneakers
Women,Rectangle,Autumn,Business,Belt
Men,Rectangle,Spring,Business,Cap
Men,Triangle,Winter,Business,Cufflinks
Men,Rectangle,Autumn,Business,Cap
Men,V-Shape,Winter,Party,Cufflinks
Men,Rectangle,Spring,Casual,Leather Shoes
Women,Triangle,Summer,Gym/Sport,Clutch
Women,Inverted Triangle,Spring,Ethnic,Belt
Women,Round,Spring,Ethnic,Handbag
Men,V-Shape,Summer,Gym/Sport,Cap
Men,Rectangle,Summer,Casual,Cufflinks
Women,Round,Summer,Party,Scarf
Men,Rectangle,Winter,Party,Leather Shoes
Women,Triangle,Spring,Gym/Sport,Handbag
Women,Round,Winter,Casual,Handbag
Women,Triangle,Summer,Ethnic,Clutch
Men,Apple,Summer,Business,Sneakers
Women,Round,Spring,Ethnic,Heels
Women,Inverted Triangle,Summer,Gym/Sport,Watch
Men,V-Shape,Summer,Business,Cap
Women,Inverted Triangle,Spring,Gym/Sport,Heels
Men,V-Shape,Winter,Casual,Cufflinks
Women,Round,Autumn,Business,Watch
Women,Triangle,Spring,Party,Handbag
Men,Apple,Spring,Business,Tie
Women,Inverted Triangle,Summer,Business,Earrings
Men,Apple,Summer,Business,Cap
Women,Inverted Triangle,Autumn,Gym/Sport,Handbag
Women,Triangle,Autumn,Party,Watch
Men,Triangle,Autumn,Ethnic,Sneakers
Women,Rectangle,Winter,Casual,Watch
Men,V-Shape,Autumn,Business,Leather Shoes
Men,V-Shape,Winter,Gym/Sport,Sneakers
Men,Triangle,Spring,Gym/Sport,Cap
Men,Apple,Autumn,Casual,Sneakers
Women,Round,Winter,Casual,Belt
Women,Triangle,Autumn,Party,Earrings
Women,Triangle,Summer,Casual,Clutch
Men,Triangle,Spring,Casual,Tie
Women,Triangle,Summer,Casual,Watch
Men,V-Shape,Spring,Business,Leather Shoes
Men,Rectangle,Spring,Casual,Tie
Men,Rectangle,Winter,Gym/Sport,Leather Shoes
Women,Rectangle,Winter,Ethnic,Clutch
Men,Triangle,Winter,Business,Tie
Men,Triangle,Summer,Business,Cap
Women,Hourglass,Autumn,Business,Heels
Men,Apple,Autumn,Casual,Leather Shoes
Men,Triangle,Autumn,Casual,Watch
Women,Triangle,Winter,Gym/Sport,Earrings
Women,Hourglass,Spring,Party,Clutch
Women,Inverted Triangle,Spring,Business,Watch
Men,V-Shape,Spring,Business,Tie
Men,Apple,Autumn,Business,Watch
Women,Rectangle,Spring,Casual,Heels
Women,Inverted Triangle,Summer,Ethnic,Clutch
Women,Inverted Triangle,Autumn,Ethnic,Handbag
Women,Triangle,Autumn,Party,Scarf
Men,Apple,Autumn,Casual,Tie
Women,Round,Winter,Gym/Sport,Handbag
Men,Rectangle,Spring,Gym/Sport,Sneakers
Women,Triangle,Autumn,Casual,Scarf
